FIPS code,State Abbreviation,State Name,County,Cases 7-day rolling average,Deaths 7-day rolling average,Tests performed 7-day rolling average,Test positivity 7-day rolling average,Total admissions of confirmed COVID-19 patients 7-day rolling average - reports including both adult and pediatric patients,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Date,Report date window start,Report date window end,Level of Community Transmission 
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/22/2020,1/16/2020,1/22/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/23/2020,1/17/2020,1/23/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/24/2020,1/18/2020,1/24/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/25/2020,1/19/2020,1/25/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/26/2020,1/20/2020,1/26/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/27/2020,1/21/2020,1/27/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/28/2020,1/22/2020,1/28/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/29/2020,1/23/2020,1/29/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/30/2020,1/24/2020,1/30/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,1/31/2020,1/25/2020,1/31/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/1/2020,1/26/2020,2/1/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/2/2020,1/27/2020,2/2/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/3/2020,1/28/2020,2/3/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/4/2020,1/29/2020,2/4/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/5/2020,1/30/2020,2/5/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/6/2020,1/31/2020,2/6/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/7/2020,2/1/2020,2/7/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/8/2020,2/2/2020,2/8/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/9/2020,2/3/2020,2/9/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/10/2020,2/4/2020,2/10/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/11/2020,2/5/2020,2/11/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/12/2020,2/6/2020,2/12/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/13/2020,2/7/2020,2/13/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/14/2020,2/8/2020,2/14/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/15/2020,2/9/2020,2/15/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/16/2020,2/10/2020,2/16/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/17/2020,2/11/2020,2/17/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/18/2020,2/12/2020,2/18/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/19/2020,2/13/2020,2/19/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/20/2020,2/14/2020,2/20/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/21/2020,2/15/2020,2/21/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/22/2020,2/16/2020,2/22/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/23/2020,2/17/2020,2/23/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/24/2020,2/18/2020,2/24/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/25/2020,2/19/2020,2/25/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/26/2020,2/20/2020,2/26/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/27/2020,2/21/2020,2/27/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/28/2020,2/22/2020,2/28/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,2/29/2020,2/23/2020,2/29/2020,null
10003,DE,null,New Castle County,0,0,0,0,null,null,null,3/1/2020,2/24/2020,3/1/2020,null
10003,DE,null,New Castle County,0,0,2,0,null,null,null,3/2/2020,2/25/2020,3/2/2020,null
10003,DE,null,New Castle County,0,0,1,0,null,null,null,3/3/2020,2/26/2020,3/3/2020,null
10003,DE,null,New Castle County,0,0,0.67,0,null,null,null,3/4/2020,2/27/2020,3/4/2020,null
10003,DE,null,New Castle County,0,0,0.5,0,null,null,null,3/5/2020,2/28/2020,3/5/2020,null
10003,DE,null,New Castle County,0,0,0.4,0,null,null,null,3/6/2020,2/29/2020,3/6/2020,null
10003,DE,null,New Castle County,0,0,0.33,0,null,null,null,3/7/2020,3/1/2020,3/7/2020,null
10003,DE,null,New Castle County,0,0,0.57,0,null,null,null,3/8/2020,3/2/2020,3/8/2020,null
10003,DE,null,New Castle County,0,0,0.43,0,null,null,null,3/9/2020,3/3/2020,3/9/2020,null
10003,DE,null,New Castle County,0,0,1.14,0,null,null,null,3/10/2020,3/4/2020,3/10/2020,null
10003,DE,null,New Castle County,0,0,1.29,0,null,null,null,3/11/2020,3/5/2020,3/11/2020,null
10003,DE,null,New Castle County,suppressed,0,4.14,0,null,null,null,3/12/2020,3/6/2020,3/12/2020,null
10003,DE,null,New Castle County,suppressed,0,9.14,0,null,null,null,3/13/2020,3/7/2020,3/13/2020,null
10003,DE,null,New Castle County,suppressed,0,17.86,0.23,null,null,null,3/14/2020,3/8/2020,3/14/2020,null
10003,DE,null,New Castle County,suppressed,0,20.14,0.23,null,null,null,3/15/2020,3/9/2020,3/15/2020,null
10003,DE,null,New Castle County,suppressed,0,60.71,0.53,null,null,null,3/16/2020,3/10/2020,3/16/2020,null
10003,DE,null,New Castle County,2.14286,0,84,0.71,null,null,null,3/17/2020,3/11/2020,3/17/2020,null
10003,DE,null,New Castle County,2.85714,0,101.57,1.28,null,null,null,3/18/2020,3/12/2020,3/18/2020,null
10003,DE,null,New Castle County,2.71429,0,124.14,1.44,null,null,null,3/19/2020,3/13/2020,3/19/2020,null
10003,DE,null,New Castle County,3.28571,0,148.71,1.79,null,null,null,3/20/2020,3/14/2020,3/20/2020,null
10003,DE,null,New Castle County,3.71429,0,158.43,2.22,null,null,null,3/21/2020,3/15/2020,3/21/2020,null
10003,DE,null,New Castle County,4.57143,0,196.14,2.67,null,null,null,3/22/2020,3/16/2020,3/22/2020,null
10003,DE,null,New Castle County,7.14286,0,190.57,2.66,null,null,null,3/23/2020,3/17/2020,3/23/2020,null
10003,DE,null,New Castle County,8,0,191.43,2.74,null,null,null,3/24/2020,3/18/2020,3/24/2020,null
10003,DE,null,New Castle County,8.42857,0,195.29,4.81,null,null,null,3/25/2020,3/19/2020,3/25/2020,null
10003,DE,null,New Castle County,8,0,196.71,6.4,null,null,null,3/26/2020,3/20/2020,3/26/2020,null
10003,DE,null,New Castle County,11.2857,suppressed,204.86,7.68,null,null,null,3/27/2020,3/21/2020,3/27/2020,null
10003,DE,null,New Castle County,14,suppressed,219.86,9.03,null,null,null,3/28/2020,3/22/2020,3/28/2020,null
10003,DE,null,New Castle County,14.5714,suppressed,231.43,10.54,null,null,null,3/29/2020,3/23/2020,3/29/2020,null
10003,DE,null,New Castle County,14,suppressed,243.29,12.59,null,null,null,3/30/2020,3/24/2020,3/30/2020,null
10003,DE,null,New Castle County,18,suppressed,254,14.13,null,null,null,3/31/2020,3/25/2020,3/31/2020,null
10003,DE,null,New Castle County,21,suppressed,333.29,13.66,null,null,null,4/1/2020,3/26/2020,4/1/2020,null
10003,DE,null,New Castle County,23.7143,suppressed,391.43,14.72,null,null,null,4/2/2020,3/27/2020,4/2/2020,null
10003,DE,null,New Castle County,24.7143,suppressed,464,15.67,null,null,null,4/3/2020,3/28/2020,4/3/2020,null
10003,DE,null,New Castle County,38.5714,suppressed,508.29,15.78,null,null,null,4/4/2020,3/29/2020,4/4/2020,null
10003,DE,null,New Castle County,42.1429,suppressed,517.86,15.88,null,null,null,4/5/2020,3/30/2020,4/5/2020,null
10003,DE,null,New Castle County,48.5714,suppressed,575.43,16.01,null,null,null,4/6/2020,3/31/2020,4/6/2020,null
10003,DE,null,New Castle County,53.4286,suppressed,616.86,16.51,null,null,null,4/7/2020,4/1/2020,4/7/2020,null
10003,DE,null,New Castle County,58.5714,suppressed,562.71,16.42,null,null,null,4/8/2020,4/2/2020,4/8/2020,null
