state,county,year_week,yearweek,cases_7d_avg
PA,Bucks County,2020 - 7,202007,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 8,202008,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 9,202009,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 10,202010,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 11,202011,0
PA,Bucks County,2020 - 12,202012,0
PA,Bucks County,2020 - 12,202012,0
PA,Bucks County,2020 - 12,202012,0
PA,Bucks County,2020 - 12,202012,0
PA,Bucks County,2020 - 12,202012,1.42857
PA,Bucks County,2020 - 12,202012,1.85714
PA,Bucks County,2020 - 12,202012,3
PA,Bucks County,2020 - 13,202013,4
PA,Bucks County,2020 - 13,202013,5.42857
PA,Bucks County,2020 - 13,202013,8.14286
PA,Bucks County,2020 - 13,202013,11
PA,Bucks County,2020 - 13,202013,13.5714
PA,Bucks County,2020 - 13,202013,15.4286
PA,Bucks County,2020 - 13,202013,18.2857
PA,Bucks County,2020 - 14,202014,24.4286
PA,Bucks County,2020 - 14,202014,29
PA,Bucks County,2020 - 14,202014,31.5714
PA,Bucks County,2020 - 14,202014,32.2857
PA,Bucks County,2020 - 14,202014,37.5714
PA,Bucks County,2020 - 14,202014,46
PA,Bucks County,2020 - 14,202014,48
PA,Bucks County,2020 - 15,202015,50.2857
PA,Bucks County,2020 - 15,202015,53.2857
PA,Bucks County,2020 - 15,202015,57.7143
PA,Bucks County,2020 - 15,202015,63.4286
PA,Bucks County,2020 - 15,202015,71.5714
PA,Bucks County,2020 - 15,202015,73.1429
PA,Bucks County,2020 - 15,202015,80.4286
PA,Bucks County,2020 - 16,202016,78.8571
PA,Bucks County,2020 - 16,202016,79.7143
PA,Bucks County,2020 - 16,202016,76
PA,Bucks County,2020 - 16,202016,77.7143
PA,Bucks County,2020 - 16,202016,76.5714
PA,Bucks County,2020 - 16,202016,80.8571
PA,Bucks County,2020 - 16,202016,81.1429
PA,Bucks County,2020 - 17,202017,87.8571
PA,Bucks County,2020 - 17,202017,90.7143
PA,Bucks County,2020 - 17,202017,99.2857
PA,Bucks County,2020 - 17,202017,100.571
PA,Bucks County,2020 - 17,202017,103.429
PA,Bucks County,2020 - 17,202017,108.429
PA,Bucks County,2020 - 17,202017,114.571
PA,Bucks County,2020 - 18,202018,111.714
PA,Bucks County,2020 - 18,202018,123.286
PA,Bucks County,2020 - 18,202018,108.286
PA,Bucks County,2020 - 18,202018,104.143
PA,Bucks County,2020 - 18,202018,105.571
PA,Bucks County,2020 - 18,202018,110.286
PA,Bucks County,2020 - 18,202018,108.714
PA,Bucks County,2020 - 19,202019,111.714
PA,Bucks County,2020 - 19,202019,97.2857
PA,Bucks County,2020 - 19,202019,110
PA,Bucks County,2020 - 19,202019,110.714
PA,Bucks County,2020 - 19,202019,106.143
PA,Bucks County,2020 - 19,202019,99.2857
PA,Bucks County,2020 - 19,202019,95.7143
PA,Bucks County,2020 - 20,202020,97.1429
PA,Bucks County,2020 - 20,202020,96
PA,Bucks County,2020 - 20,202020,95.8571
PA,Bucks County,2020 - 20,202020,94
PA,Bucks County,2020 - 20,202020,90.7143
PA,Bucks County,2020 - 20,202020,82.1429
PA,Bucks County,2020 - 20,202020,77
PA,Bucks County,2020 - 21,202021,67.5714
PA,Bucks County,2020 - 21,202021,69.7143
PA,Bucks County,2020 - 21,202021,65.2857
PA,Bucks County,2020 - 21,202021,70.8571
PA,Bucks County,2020 - 21,202021,68.2857
PA,Bucks County,2020 - 21,202021,62.7143
PA,Bucks County,2020 - 21,202021,64
PA,Bucks County,2020 - 22,202022,61.1429
PA,Bucks County,2020 - 22,202022,54
PA,Bucks County,2020 - 22,202022,49
PA,Bucks County,2020 - 22,202022,38.2857
PA,Bucks County,2020 - 22,202022,34.2857
PA,Bucks County,2020 - 22,202022,35.4286
PA,Bucks County,2020 - 22,202022,30.1429
PA,Bucks County,2020 - 23,202023,30.7143
PA,Bucks County,2020 - 23,202023,29.4286
PA,Bucks County,2020 - 23,202023,28.5714
PA,Bucks County,2020 - 23,202023,29.5714
PA,Bucks County,2020 - 23,202023,27.4286
PA,Bucks County,2020 - 23,202023,26.4286
PA,Bucks County,2020 - 23,202023,27.5714
PA,Bucks County,2020 - 24,202024,25.5714
PA,Bucks County,2020 - 24,202024,25.4286
PA,Bucks County,2020 - 24,202024,26.8571
PA,Bucks County,2020 - 24,202024,29
PA,Bucks County,2020 - 24,202024,29.5714
PA,Bucks County,2020 - 24,202024,28.4286
PA,Bucks County,2020 - 24,202024,25.1429
PA,Bucks County,2020 - 25,202025,23.8571
PA,Bucks County,2020 - 25,202025,23
PA,Bucks County,2020 - 25,202025,21.1429
PA,Bucks County,2020 - 25,202025,18
PA,Bucks County,2020 - 25,202025,19
PA,Bucks County,2020 - 25,202025,16.2857
PA,Bucks County,2020 - 25,202025,16.5714
PA,Bucks County,2020 - 26,202026,17
PA,Bucks County,2020 - 26,202026,18.2857
PA,Bucks County,2020 - 26,202026,18.2857
PA,Bucks County,2020 - 26,202026,21.8571
PA,Bucks County,2020 - 26,202026,21.5714
PA,Bucks County,2020 - 26,202026,23.7143
PA,Bucks County,2020 - 26,202026,24.1429
PA,Bucks County,2020 - 27,202027,24.4286
PA,Bucks County,2020 - 27,202027,23.1429
PA,Bucks County,2020 - 27,202027,23.4286
PA,Bucks County,2020 - 27,202027,22.5714
PA,Bucks County,2020 - 27,202027,21.7143
PA,Bucks County,2020 - 27,202027,21.8571
PA,Bucks County,2020 - 27,202027,20
PA,Bucks County,2020 - 28,202028,23.5714
PA,Bucks County,2020 - 28,202028,26.1429
PA,Bucks County,2020 - 28,202028,29.1429
PA,Bucks County,2020 - 28,202028,27.1429
PA,Bucks County,2020 - 28,202028,28.8571
PA,Bucks County,2020 - 28,202028,28.7143
PA,Bucks County,2020 - 28,202028,31.4286
PA,Bucks County,2020 - 29,202029,28.5714
PA,Bucks County,2020 - 29,202029,27.5714
PA,Bucks County,2020 - 29,202029,27
PA,Bucks County,2020 - 29,202029,31.7143
PA,Bucks County,2020 - 29,202029,32.1429
PA,Bucks County,2020 - 29,202029,36.2857
PA,Bucks County,2020 - 29,202029,36.5714
PA,Bucks County,2020 - 30,202030,38.5714
PA,Bucks County,2020 - 30,202030,40.2857
PA,Bucks County,2020 - 30,202030,47.1429
PA,Bucks County,2020 - 30,202030,46.2857
PA,Bucks County,2020 - 30,202030,44.8571
PA,Bucks County,2020 - 30,202030,47.1429
PA,Bucks County,2020 - 30,202030,49.1429
PA,Bucks County,2020 - 31,202031,48.1429
PA,Bucks County,2020 - 31,202031,47.2857
PA,Bucks County,2020 - 31,202031,43.4286
PA,Bucks County,2020 - 31,202031,40.4286
PA,Bucks County,2020 - 31,202031,43.5714
PA,Bucks County,2020 - 31,202031,41.1429
PA,Bucks County,2020 - 31,202031,42.1429
PA,Bucks County,2020 - 32,202032,43.5714
PA,Bucks County,2020 - 32,202032,43.1429
PA,Bucks County,2020 - 32,202032,40.7143
PA,Bucks County,2020 - 32,202032,41.2857
PA,Bucks County,2020 - 32,202032,38.7143
PA,Bucks County,2020 - 32,202032,35
PA,Bucks County,2020 - 32,202032,30.5714
PA,Bucks County,2020 - 33,202033,28.8571
PA,Bucks County,2020 - 33,202033,27.1429
PA,Bucks County,2020 - 33,202033,25
PA,Bucks County,2020 - 33,202033,27.1429
PA,Bucks County,2020 - 33,202033,28.5714
PA,Bucks County,2020 - 33,202033,28.1429
PA,Bucks County,2020 - 33,202033,29.8571
PA,Bucks County,2020 - 34,202034,31.7143
PA,Bucks County,2020 - 34,202034,33
PA,Bucks County,2020 - 34,202034,32.4286
PA,Bucks County,2020 - 34,202034,29.4286
PA,Bucks County,2020 - 34,202034,27.7143
PA,Bucks County,2020 - 34,202034,27.2857
PA,Bucks County,2020 - 34,202034,25.7143
PA,Bucks County,2020 - 35,202035,23
PA,Bucks County,2020 - 35,202035,23.7143
PA,Bucks County,2020 - 35,202035,23.5714
PA,Bucks County,2020 - 35,202035,22.8571
PA,Bucks County,2020 - 35,202035,22
PA,Bucks County,2020 - 35,202035,24.2857
PA,Bucks County,2020 - 35,202035,26
PA,Bucks County,2020 - 36,202036,28.1429
PA,Bucks County,2020 - 36,202036,28.2857
PA,Bucks County,2020 - 36,202036,28.7143
PA,Bucks County,2020 - 36,202036,30.7143
PA,Bucks County,2020 - 36,202036,33.2857
PA,Bucks County,2020 - 36,202036,36.5714
PA,Bucks County,2020 - 36,202036,37
PA,Bucks County,2020 - 37,202037,38.7143
PA,Bucks County,2020 - 37,202037,39.8571
PA,Bucks County,2020 - 37,202037,38.4286
PA,Bucks County,2020 - 37,202037,38.8571
PA,Bucks County,2020 - 37,202037,35.5714
PA,Bucks County,2020 - 37,202037,33.8571
PA,Bucks County,2020 - 37,202037,32.2857
PA,Bucks County,2020 - 38,202038,29.8571
PA,Bucks County,2020 - 38,202038,30
PA,Bucks County,2020 - 38,202038,36.5714
PA,Bucks County,2020 - 38,202038,33
PA,Bucks County,2020 - 38,202038,38.1429
PA,Bucks County,2020 - 38,202038,35.8571
PA,Bucks County,2020 - 38,202038,38.5714
PA,Bucks County,2020 - 39,202039,40
PA,Bucks County,2020 - 39,202039,39.8571
PA,Bucks County,2020 - 39,202039,34.4286
PA,Bucks County,2020 - 39,202039,38.1429
PA,Bucks County,2020 - 39,202039,36.4286
PA,Bucks County,2020 - 39,202039,36.4286
PA,Bucks County,2020 - 39,202039,37.2857
PA,Bucks County,2020 - 40,202040,36
PA,Bucks County,2020 - 40,202040,35.1429
PA,Bucks County,2020 - 40,202040,37
PA,Bucks County,2020 - 40,202040,38.1429
PA,Bucks County,2020 - 40,202040,37
PA,Bucks County,2020 - 40,202040,40
PA,Bucks County,2020 - 40,202040,32
PA,Bucks County,2020 - 41,202041,35.4286
PA,Bucks County,2020 - 41,202041,35.2857
PA,Bucks County,2020 - 41,202041,33.8571
PA,Bucks County,2020 - 41,202041,34.7143
PA,Bucks County,2020 - 41,202041,34.7143
PA,Bucks County,2020 - 41,202041,37.7143
PA,Bucks County,2020 - 41,202041,42.7143
PA,Bucks County,2020 - 42,202042,40.4286
PA,Bucks County,2020 - 42,202042,42.8571
PA,Bucks County,2020 - 42,202042,43.7143
PA,Bucks County,2020 - 42,202042,41
PA,Bucks County,2020 - 42,202042,44.7143
PA,Bucks County,2020 - 42,202042,39.8571
PA,Bucks County,2020 - 42,202042,39.7143
PA,Bucks County,2020 - 43,202043,39.8571
PA,Bucks County,2020 - 43,202043,38.7143
PA,Bucks County,2020 - 43,202043,39.8571
PA,Bucks County,2020 - 43,202043,40.8571
PA,Bucks County,2020 - 43,202043,39.8571
PA,Bucks County,2020 - 43,202043,45.8571
PA,Bucks County,2020 - 43,202043,54.4286
PA,Bucks County,2020 - 44,202044,58.4286
PA,Bucks County,2020 - 44,202044,59.4286
PA,Bucks County,2020 - 44,202044,63
PA,Bucks County,2020 - 44,202044,66
PA,Bucks County,2020 - 44,202044,70
PA,Bucks County,2020 - 44,202044,69.8571
PA,Bucks County,2020 - 44,202044,71.8571
PA,Bucks County,2020 - 45,202045,72.1429
PA,Bucks County,2020 - 45,202045,76
PA,Bucks County,2020 - 45,202045,81
PA,Bucks County,2020 - 45,202045,85.5714
PA,Bucks County,2020 - 45,202045,91.5714
PA,Bucks County,2020 - 45,202045,102
PA,Bucks County,2020 - 45,202045,106.857
PA,Bucks County,2020 - 46,202046,118.143
PA,Bucks County,2020 - 46,202046,133.429
PA,Bucks County,2020 - 46,202046,142.429
PA,Bucks County,2020 - 46,202046,164.429
PA,Bucks County,2020 - 46,202046,190.571
PA,Bucks County,2020 - 46,202046,209.714
PA,Bucks County,2020 - 46,202046,222.143
PA,Bucks County,2020 - 47,202047,244.286
PA,Bucks County,2020 - 47,202047,252.286
PA,Bucks County,2020 - 47,202047,263.143
PA,Bucks County,2020 - 47,202047,252.143
PA,Bucks County,2020 - 47,202047,263.857
PA,Bucks County,2020 - 47,202047,278
PA,Bucks County,2020 - 47,202047,292.286
PA,Bucks County,2020 - 48,202048,296.571
PA,Bucks County,2020 - 48,202048,302.857
PA,Bucks County,2020 - 48,202048,304.143
PA,Bucks County,2020 - 48,202048,316.429
PA,Bucks County,2020 - 48,202048,317.286
PA,Bucks County,2020 - 48,202048,320.571
PA,Bucks County,2020 - 48,202048,336
PA,Bucks County,2020 - 49,202049,326.286
PA,Bucks County,2020 - 49,202049,332.571
