74 ,ICD9,Cesarean section and removal of fetus,
74.0,ICD9,Classical c-section,Classical cesarean section
74.1,ICD9,Low cervical c-section,Low cervical cesarean section
74.2,ICD9,Extraperitoneal c-sect,Extraperitoneal cesarean section
74.4,ICD9,Cesarean section NEC,Cesarean section of other specified type
74.9,ICD9,Cesarean section NOS,Other cesarean section of unspecified type
74.99,ICD9,Cesarean section NOS,Other cesarean section of unspecified type
10D00Z0,ICD10,"Extraction of Products of Conception, High, Open Approach","Extraction of Products of Conception, High, Open Approach"
10D00Z1,ICD10,"Extraction of Products of Conception, Low, Open Approach","Extraction of Products of Conception, Low, Open Approach"
10D00Z2,ICD10,"Extraction of POC, Extraperitoneal, Open Approach","Extraction of Products of Conception, Extraperitoneal, Open Approach"
