    New chain ID            Original chain ID

4ug0-pdb-bundle1.pdb:
           A                        L5
           B                        L7
           C                        L8
           D                        LA
           E                        LB
           F                        LC
           G                        LD
           H                        LE

4ug0-pdb-bundle2.pdb:
           A                        LF
           B                        LG
           C                        LH
           D                        LI
           E                        LJ
           F                        LL
           G                        LM
           H                        LN
           I                        LO
           J                        LP
           K                        LQ
           L                        LR
           M                        LS
           N                        LT
           O                        LU
           P                        LV
           Q                        LW
           R                        LX
           S                        LY
           T                        LZ
           U                        La
           V                        Lb
           W                        Lc
           X                        Ld
           Y                        Le
           Z                        Lf
           a                        Lg
           b                        Lh
           c                        Li
           d                        Lj
           e                        Lk
           f                        Ll
           g                        Lm
           h                        Ln
           i                        Lo
           j                        Lp
           k                        Lr
           l                        Lz
           m                        S2
           n                        S6
           o                        SA
           p                        SB
           q                        SD
           r                        SE
           s                        SF
           t                        SH
           u                        SI
           v                        SK
           w                        SL
           x                        SP
           y                        SQ
           z                        SR
           0                        SS

4ug0-pdb-bundle3.pdb:
           A                        ST
           B                        SU
           C                        SV
           D                        SX
           E                        Sa
           F                        Sc
           G                        Sd
           H                        Sf
           I                        Sg
           J                        SC
           K                        SG
           L                        SJ
           M                        SM
           N                        SN
           O                        SO
           P                        SW
           Q                        SY
           R                        SZ
           S                        Sb
           T                        Se
