WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EMR,AFG,Afghanistan,CRS,,,,0,0,0,,,0,,,,,,,,,,,,
EUR,ALB,Albania,CRS,0,0,,,,0,0,0,0,0,0,0,0,0,14,0,,,,,
AFR,DZA,Algeria,CRS,,,0,0,,,0,0,0,,0,,,,,,,,,,
EUR,AND,Andorra,CRS,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,
AFR,AGO,Angola,CRS,,,,,,,,,,,,,,,0,,0,,,,
AMR,ATG,Antigua and Barbuda,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
AMR,ARG,Argentina,CRS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
EUR,ARM,Armenia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,
WPR,AUS,Australia,CRS,0,0,0,1,0,2,1,0,0,0,1,2,,1,1,1,1,0,,,
EUR,AUT,Austria,CRS,1,0,0,0,0,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,CRS,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,
AMR,BHS,Bahamas (the),CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,4
EMR,BHR,Bahrain,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SEAR,BGD,Bangladesh,CRS,146,146,87,89,66,19,,,,,,,,,,,,,,,
AMR,BRB,Barbados,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,
EUR,BLR,Belarus,CRS,,0,0,0,0,0,0,0,0,0,0,0,3,,1,,0,0,0,0,
EUR,BEL,Belgium,CRS,0,0,,0,0,0,1,0,0,0,0,0,,0,,0,,1,,,
AMR,BLZ,Belize,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
AFR,BEN,Benin,CRS,,,,,,,0,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,CRS,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,
AMR,BOL,Bolivia (Plurinational State of),CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
