WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
EMR,AFG,Afghanistan,JapEnc,,,,0,,0,,,0,,,,
EUR,ALB,Albania,JapEnc,,0,0,,,0,0,0,0,,,0,
AFR,DZA,Algeria,JapEnc,,0,0,0,,,0,0,0,0,0,,
EUR,AND,Andorra,JapEnc,0,0,0,,,,,,,,,,
AFR,AGO,Angola,JapEnc,,,,,,,,0,,,,,0
AMR,ATG,Antigua and Barbuda,JapEnc,0,,,,,,,,,,,,0
AMR,ARG,Argentina,JapEnc,,,,,,,,,,,,,
EUR,ARM,Armenia,JapEnc,0,,0,,0,0,,0,0,,,,
WPR,AUS,Australia,JapEnc,0,1,0,3,1,4,1,0,0,0,1,,
EUR,AUT,Austria,JapEnc,,,,,,,0,0,0,0,0,,
EUR,AZE,Azerbaijan,JapEnc,0,0,0,0,0,0,0,0,0,,0,0,
AMR,BHS,Bahamas (the),JapEnc,0,,,,,,,,,,,0,0
EMR,BHR,Bahrain,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAR,BGD,Bangladesh,JapEnc,96,19,1294,76,183,23,52,103,15,15,702,204,
AMR,BRB,Barbados,JapEnc,,,,,,,,,,,,,0
EUR,BLR,Belarus,JapEnc,,0,0,,0,0,0,0,0,0,,0,
EUR,BEL,Belgium,JapEnc,,,,0,0,0,0,0,0,0,0,0,0
AMR,BLZ,Belize,JapEnc,,,,,,,,,,,,,0
AFR,BEN,Benin,JapEnc,,,,,,,,,,,0,0,
SEAR,BTN,Bhutan,JapEnc,1,3,5,5,2,0,27,3,0,0,,,
AMR,BOL,Bolivia (Plurinational State of),JapEnc,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,JapEnc,0,0,0,,,,,0,,,0,0,
AFR,BWA,Botswana,JapEnc,,0,0,0,,,,,,,,0,
AMR,BRA,Brazil,JapEnc,,,,,,,,,,,,0,
WPR,BRN,Brunei Darussalam,JapEnc,0,0,1,1,0,,0,0,,0,0,,
EUR,BGR,Bulgaria,JapEnc,,,0,,,0,0,0,0,0,0,0,0
AFR,BFA,Burkina Faso,JapEnc,,,,0,0,,,,,,,,
AFR,BDI,Burundi,JapEnc,,,,,,,,0,0,0,0,,
AFR,CPV,Cabo Verde,JapEnc,0,,,0,0,0,0,0,0,0,0,,
