WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,ERI,Eritrea,ntetanus,0,0,0,0,0,0,0,0,0,0,1,,0,0,3,1,3,1,4,1,4,1,2,1,,,,,,,,,,,,,,,
EUR,EST,Estonia,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
AFR,SWZ,Eswatini,ntetanus,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,4,6,3,8,10,25,126,133,28,35,19,,
AFR,ETH,Ethiopia,ntetanus,14,20,18,18,20,16,40,33,75,50,66,62,102,57,55,43,56,11,20,35,16,27,5,,,,94,,39,300,,107,117,151,145,157,220,,
WPR,FJI,Fiji,ntetanus,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EUR,FIN,Finland,ntetanus,0,0,,0,,,,,,,,0,,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,FRA,France,ntetanus,,0,,,,0,,0,,0,,,,,,,,,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,
AFR,GAB,Gabon,ntetanus,0,4,3,,0,0,2,0,3,5,6,0,3,0,0,,3,1,8,,,,0,,,12,7,,4,9,16,9,11,4,2,2,0,2,0
AFR,GMB,Gambia,ntetanus,3,1,0,0,0,0,0,2,0,0,0,0,0,6,3,3,3,0,2,1,,0,1,6,8,13,21,18,44,,,17,65,27,,,,,
EUR,GEO,Georgia,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,
EUR,DEU,Germany,ntetanus,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,GHA,Ghana,ntetanus,9,6,5,0,1,1,0,5,1,8,8,10,29,44,11,37,70,64,80,78,100,105,108,159,144,9,8,,,,,,,,,,,,
