WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,polio,0,0,13,20,28,17,46,81,30,38,31,17,31,9,4,8,10,11,120,150,59,19,,0,,,,2,48,55,307,628,1843,1981,552,1991,1390,837,880
EUR,ALB,Albania,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
AFR,DZA,Algeria,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,7,4,4,1,1,0,2,18,9,35,29,66,108,132,71,114,116
EUR,AND,Andorra,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,polio,0,0,0,0,0,0,0,5,33,29,29,8,2,10,0,0,0,1,115,1103,7,15,81,152,54,149,0,0,,0,0,15,37,14,3,0,6,12,32
AMR,ATG,Antigua and Barbuda,polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,ARG,Argentina,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,26,12,2,32
EUR,ARM,Armenia,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,3,,,,,,,,,,,
WPR,AUS,Australia,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EUR,AUT,Austria,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EUR,AZE,Azerbaijan,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,69,22,21,,,,,,,,,,,
AMR,BHS,Bahamas (the),polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMR,BHR,Bahrain,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,6
SEAR,BGD,Bangladesh,polio,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,198,393,299,173,97,49,289,233,209,287,374,449,540,102,158,89,128,128,319,98,65
AMR,BRB,Barbados,polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,BLR,Belarus,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,,,,,,,,,,
EUR,BEL,Belgium,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
AMR,BLZ,Belize,polio,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AFR,BEN,Benin,polio,0,0,0,0,0,0,0,0,0,20,6,0,0,0,6,2,0,0,1,37,8,3,6,7,57,17,89,18,81,55,31,74,95,89,52,59,138,215,155
SEAR,BTN,Bhutan,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,36,0,6,2,7,,0,0,6
AMR,BOL,Bolivia (Plurinational State of),polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4,0,0,7,10,9,48
EUR,BIH,Bosnia and Herzegovina,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
AFR,BWA,Botswana,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,3,5,2,4,1,1
AMR,BRA,Brazil,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,107,197,612,329,82,45,69,122,1342
WPR,BRN,Brunei Darussalam,polio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,BGR,Bulgaria,polio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,1,1,1,0,15
AFR,BFA,Burkina Faso,polio,0,0,0,0,0,0,0,0,0,15,6,0,0,0,9,11,1,0,0,5,6,3,0,12,5,3,4,15,18,44,21,50,95,123,105,132,120,128,145
AFR,BDI,Burundi,polio,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,27,10,43,5,13,7,10,22,12,9,22,25,46,37,32,102,43
