WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EMR,AFG,Afghanistan,Rubella,37,53,42,59,43,367,,750,46,501,415,152,196,,,,,,,,
EUR,ALB,Albania,Rubella,0,0,2,,,0,1,5,5,0,0,0,0,0,0,9,12,10,1752,15,
AFR,DZA,Algeria,Rubella,624,110,13,3,3,414,420,170,212,23,1339,,,,,,,,,,
EUR,AND,Andorra,Rubella,0,0,0,,,0,0,0,0,0,0,0,22,0,0,0,,0,,,
AFR,AGO,Angola,Rubella,31,20,12,230,112,36,65,24,38,10,28,25,14,10,43,22,0,,,,
AMR,ATG,Antigua and Barbuda,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AMR,ARG,Argentina,Rubella,0,0,0,0,2,0,1,1,0,4,2252,90,299,0,6,8,3366,3512,,10831,29856
EUR,ARM,Armenia,Rubella,0,0,0,0,0,4,1,0,0,4,4,87,13500,620,733,333,1318,5936,673,340,
WPR,AUS,Australia,Rubella,10,11,17,18,17,26,35,60,42,25,38,36,,31,44,56,253,262,313,379,
EUR,AUT,Austria,Rubella,8,39,3,1,11,,23,2,2,252,7,13,,,,,,,,,
EUR,AZE,Azerbaijan,Rubella,0,0,0,0,0,0,0,0,1,,0,4,127,1025,5796,1055,1197,441,219,504,
AMR,BHS,Bahamas (the),Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2
EMR,BHR,Bahrain,Rubella,0,0,0,1,8,2,4,3,6,9,2,5,3,7,2,7,0,1,2,4,
SEAR,BGD,Bangladesh,Rubella,308,299,165,189,381,3034,3245,5631,12963,13076,5526,13226,3418,9229,327,,,,,,
AMR,BRB,Barbados,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,
EUR,BLR,Belarus,Rubella,,1,0,1,1,1,10,20,0,3,2,7,2360,3812,4492,1625,5173,6857,16034,44443,
EUR,BEL,Belgium,Rubella,1,1,1,,,,0,,,,,,,,38,58,8,3,,,
AMR,BLZ,Belize,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,4
AFR,BEN,Benin,Rubella,12,,3,40,8,10,41,20,1,15,97,29,8,2,30,,,,,,
SEAR,BTN,Bhutan,Rubella,11,9,3,1,0,6,2,3,9,15,2,3,11,81,12,350,,0,0,4127,
AMR,BOL,Bolivia (Plurinational State of),Rubella,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,41,129,550,434,35,19
EUR,BIH,Bosnia and Herzegovina,Rubella,4,4,16,8,,,17,31,2784,523,19,25,29,43,43,46,66,,144,369,
AFR,BWA,Botswana,Rubella,3,3,25,5,508,121,163,214,13,1,2,18,409,579,27,,1,6,170,6,
AMR,BRA,Brazil,Rubella,0,,0,0,1,0,0,0,0,0,2201,8739,1631,233,319,563,1256,3769,8781,11763,6729
WPR,BRN,Brunei Darussalam,Rubella,0,1,0,0,0,,1,2,1,1,0,,,0,0,1,,1,1,3,
EUR,BGR,Bulgaria,Rubella,1,0,2,5,7,10,18,41,39,44,58,88,247,1968,474,252,805,1655,28449,4215,
AFR,BFA,Burkina Faso,Rubella,4,1,1,4,57,27,677,,,,97,4,3,12,49,668,303,49,,,
AFR,BDI,Burundi,Rubella,25,25,29,79,71,7,11,67,247,305,173,15,39,26,,,,,,,
AFR,CPV,Cabo Verde,Rubella,0,0,,0,0,3,18,10,28,11329,9648,,,,,,,,,,
WPR,KHM,Cambodia,Rubella,3,7,4,18,29,104,185,1096,85,528,4211,386,508,,,,,,,,
AFR,CMR,Cameroon,Rubella,693,711,13,277,147,148,147,106,48,33,78,126,58,159,,83,,,,,
AMR,CAN,Canada,Rubella,0,0,1,0,1,2,2,1,12,7,1,1,7,320,,11,16,,28,,
AFR,CAF,Central African Republic (the),Rubella,4,19,38,354,507,31,11,15,15,32,28,118,12,2,0,,,,,,
AFR,TCD,Chad,Rubella,1457,24,24,31,,,,0,3,3,,,46,,,,,,,,
AMR,CHL,Chile,Rubella,0,0,0,0,0,0,0,1,0,0,14,4235,0,47,3,2,287,441,743,1608,4571
WPR,CHN,China,Rubella,3930,1605,4535,8133,11793,17580,40156,65549,43117,69860,120354,74746,37137,25446,24015,,,,,,
AMR,COL,Colombia,Rubella,0,0,0,0,0,0,1,1,0,4,4,2,6,85,45,47,1206,70,157,974,1906
AFR,COM,Comoros (the),Rubella,0,2,0,0,35,0,0,,0,1,,0,0,,,,,,,0,
AFR,COG,Congo (the),Rubella,157,12,1,4,45,107,22,,10,11,21,2,18,1,,0,0,0,,,
WPR,COK,Cook Islands,Rubella,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AMR,CRI,Costa Rica,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,86,1341,
AFR,CIV,Côte d'Ivoire,Rubella,197,329,192,50,54,98,298,43,31,51,113,48,15,,,,,,,,
EUR,HRV,Croatia,Rubella,0,0,2,1,,1,1,0,1,0,1,33,2,3,2,2,10,3,8,16,
AMR,CUB,Cuba,Rubella,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
EUR,CYP,Cyprus,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,,
EUR,CZE,Czech Republic,Rubella,2,2,0,0,1,0,6,27,4,6,14,4,8,8,31,28,3156,894,743,974,
SEAR,PRK,Democratic People's Republic of Korea (the),Rubella,0,0,0,0,0,0,1,5,0,0,82,101,101,123,507,520,520,0,,,
AFR,COD,Democratic Republic of the Congo (the),Rubella,287,,204,464,864,1704,1860,318,130,110,969,,207,,,,,,,,
EUR,DNK,Denmark,Rubella,0,0,0,,,0,0,0,0,,2,1,0,0,0,,0,0,0,,
