WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,ttetanus,53,,37,74,39,24,37,20,23,19,57,71,43,,81,121,975,,,221,383,,,,,,,3,131,51,951,168,698,2829,355,912,1481,1208,1618
EUR,ALB,Albania,ttetanus,0,1,,,,0,0,0,1,0,0,2,2,1,1,0,1,2,2,0,,3,2,18,14,18,7,8,15,3,5,6,5,4,2,4,1,3,5
AFR,DZA,Algeria,ttetanus,1,0,0,0,0,0,0,0,0,3,9,11,9,18,13,,,20,,24,25,31,26,,21,57,44,42,38,63,50,415,129,343,74,79,100,164,86
EUR,AND,Andorra,ttetanus,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,ttetanus,340,,,305,330,360,543,953,490,675,601,790,1633,89,153,643,964,,,,279,,,,,783,,1324,1826,2701,1631,778,129,893,1320,1115,1398,1383,1185
AMR,ATG,Antigua and Barbuda,ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
AMR,ARG,Argentina,ttetanus,,8,8,10,8,11,10,1,5,15,8,6,5,14,25,25,18,11,12,18,22,24,41,43,43,32,41,56,49,88,81,76,71,76,171,141,168,204,219
EUR,ARM,Armenia,ttetanus,0,0,1,0,1,0,1,0,3,,,0,2,0,1,0,1,3,1,0,2,1,7,0,2,1,2,1,,,,,,,,,,,
WPR,AUS,Australia,ttetanus,3,4,7,3,3,4,7,3,2,3,4,3,,2,5,3,2,3,7,3,7,7,,5,15,10,14,7,6,11,5,5,5,11,7,10,12,12,9
EUR,AUT,Austria,ttetanus,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,ttetanus,9,7,13,8,9,5,7,0,0,,6,3,2,2,2,1,0,1,3,1,3,5,5,18,20,11,11,11,,,,,,,,,,,
AMR,BHS,Bahamas (the),ttetanus,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,6,1,0,2,2,3
EMR,BHR,Bahrain,ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,4,7,4
SEAR,BGD,Bangladesh,ttetanus,226,352,441,559,,508,614,644,710,791,943,1034,1235,1388,1897,715,1036,1221,1155,1814,1991,3129,,3114,3304,3130,3780,2666,2511,7993,2067,201,899,363,2012,6996,2251,373,2855
AMR,BRB,Barbados,ttetanus,0,0,0,0,0,0,0,0,0,2,2,2,0,,0,,0,0,1,0,0,0,1,0,0,2,1,4,5,2,1,3,3,2,10,6,5,7,13
EUR,BLR,Belarus,ttetanus,,0,0,0,,0,0,0,2,1,0,0,0,1,2,2,4,2,1,3,2,4,3,2,12,6,9,5,,,,,,,,,,,
EUR,BEL,Belgium,ttetanus,0,0,,,,,0,0,0,2,2,1,1,3,2,1,1,3,,,0,1,3,3,0,0,2,2,2,1,0,0,5,1,2,2,10,3,4
AMR,BLZ,Belize,ttetanus,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,0,2,0,2,7,5,1
AFR,BEN,Benin,ttetanus,111,,122,7,3,8,7,6,82,4,7,9,,12,17,25,,,288,296,15,,72,184,,,,,,266,371,441,388,636,448,449,445,444,499
SEAR,BTN,Bhutan,ttetanus,0,0,1,0,4,0,0,3,0,23,7,,,1,,,,0,2,68,0,0,,0,1,0,2,4,1,81,9,3,107,34,77,1,1,1,3
AMR,BOL,Bolivia (Plurinational State of),ttetanus,0,5,0,0,0,0,0,1,0,9,13,9,10,15,29,16,29,3,8,2,9,18,22,28,21,21,42,53,46,116,118,104,69,57,43,91,91,144,153
EUR,BIH,Bosnia and Herzegovina,ttetanus,,0,0,0,,,0,0,2,0,0,1,4,0,0,0,0,0,0,5,3,0,,0,0,1,2,1,,,,,,,,,,,
AFR,BWA,Botswana,ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,,,0,1,2,1,1,3,,2,14,21,13,15,0
AMR,BRA,Brazil,ttetanus,,225,224,273,273,213,314,333,308,278,333,281,431,420,463,513,268,129,346,629,750,74,815,913,1049,1282,1321,1441,1547,1720,1852,1852,2569,2623,2800,2858,2810,2940,3098
WPR,BRN,Brunei Darussalam,ttetanus,0,0,0,0,0,,0,1,0,0,0,,,0,1,0,,,0,0,0,1,,,,1,0,,0,0,1,1,1,0,0,,1,1,0
EUR,BGR,Bulgaria,ttetanus,,,4,0,0,1,2,4,2,,2,0,4,2,0,2,2,4,3,,0,5,4,7,8,6,12,7,7,6,4,5,8,12,13,26,27,18,18
AFR,BFA,Burkina Faso,ttetanus,206,105,1,0,96,27,1,3,74,7,11,13,9,35,4,16,4,12,,31,,,28,48,53,53,72,181,100,207,299,636,799,602,657,744,748,763,746
AFR,BDI,Burundi,ttetanus,0,,,,3,1,1,2,2,11,,14,23,16,,40,71,,33,59,68,,,35,20,124,33,66,65,140,141,194,209,256,278,290,263,338,256
