WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,yfever,,,,0,,0,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,yfever,,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,yfever,0,0,0,0,,,0,0,0,0,0,,,,,,,,0,,,0,,,0,0,0,0,,,,,,,,,,,
EUR,AND,Andorra,yfever,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,yfever,,0,881,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,,,,,,0,0,0,37,,,,,,,,
AMR,ATG,Antigua and Barbuda,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,yfever,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,yfever,0,,0,,0,0,,0,0,,,,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,yfever,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,yfever,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,yfever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,yfever,,0,0,,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,yfever,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
AMR,BLZ,Belize,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,57,0,0,10,0,6,20,109,47,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,yfever,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),yfever,1,5,0,0,0,1,3,2,3,0,1,6,16,16,13,6,15,4,8,68,57,63,30,15,7,18,22,91,50,107,12,23,26,53,5,11,95,102,46
EUR,BIH,Bosnia and Herzegovina,yfever,0,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,yfever,0,0,0,0,,,,,,,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,yfever,1307,805,43,9,1,3,0,0,2,46,46,13,2,3,5,64,15,41,85,76,34,3,15,4,19,83,12,15,5,9,26,16,9,7,45,6,24,22,27
WPR,BRN,Brunei Darussalam,yfever,0,0,0,0,0,,0,0,,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,
EUR,BGR,Bulgaria,yfever,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,yfever,0,5,1,2,0,0,0,1024,7,1,4,2,3,19,14,1,288,0,0,3,2,0,1,0,,,,,,,,,,7,17,356,,,
AFR,BDI,Burundi,yfever,,,,,,,,0,0,0,0,0,0,,0,,,,,0,0,0,,260,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,yfever,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,yfever,,,,0,0,0,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,yfever,5,4,61,2,3,15,31,29,16,8,2,2,1,2,3,2,0,0,,,,0,,,10,,,0,173,0,0,,,,1,,,,7
AMR,CAN,Canada,yfever,0,0,2,4,5,0,3,2,0,0,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),yfever,1,0,0,0,0,4,0,7,6,29,5,0,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,yfever,416,0,1,0,0,5,48,122,79,3,0,,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,yfever,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,
WPR,CHN,China,yfever,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,yfever,1,0,6,0,0,1,0,0,0,5,3,7,5,20,32,102,20,9,5,2,1,5,8,3,2,1,2,4,7,1,7,17,6,5,16,1,2,7,11
AFR,COM,Comoros (the),yfever,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),yfever,1,0,0,0,0,1,1,188,0,1,0,0,0,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,yfever,,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
AMR,CRI,Costa Rica,yfever,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,yfever,2,11,3,15,21,6,5,10,49,22,14,0,2,2,0,1,158,80,,1,0,11,0,,,,,,,,,,,,,,25,,
EUR,HRV,Croatia,yfever,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,yfever,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic,yfever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),yfever,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),yfever,15,2,77,0,3,,1,195,289,0,113,204,81,140,1192,18,,36,,0,0,0,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,yfever,0,0,0,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,yfever,,,,,,,,,0,0,0,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,yfever,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),yfever,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,yfever,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,3,4,31,8,1,0,1,16,14,12,0,0,0,0,1,1,5,,2,2
