        Time, RR interval,   FFT Frequency,         PSD,  AF  Frequency,         PSD
1.038,0.738,0,146670.2913,0,42284.4992
1.841,0.803,0.004,168941.6959,0.004,83908.6306
2.666,0.825,0.008,82098.8745,0.008,81989.446
3.471,0.806,0.012,69517.98,0.012,78983.2254
4.27,0.798,0.016,71810.1093,0.016,75135.2778
5.005,0.735,0.02,61683.2889,0.02,70719.1493
5.725,0.72,0.023,52496.6433,0.023,65996.2324
6.439,0.714,0.027,49542.7489,0.027,61188.6975
7.172,0.732,0.031,40623.5276,0.031,56467.3298
7.911,0.74,0.035,24551.6888,0.035,51951.1648
8.668,0.757,0.039,20887.0403,0.039,47714.1939
9.459,0.791,0.043,22163.0791,0.043,43794.9607
10.28,0.821,0.047,17343.6442,0.047,40206.2585
11.12,0.84,0.051,15765.8753,0.051,36943.4928
11.922,0.802,0.055,19062.2466,0.055,33991.2242
12.668,0.745,0.059,15907.6195,0.059,31327.9444
13.409,0.742,0.063,16008.1785,0.063,28929.3699
14.124,0.714,0.066,16565.0368,0.066,26770.5983
14.829,0.706,0.07,16488.8129,0.07,24827.4394
15.532,0.703,0.074,22547.3304,0.074,23077.1757
16.223,0.691,0.078,27653.4404,0.078,21498.942
16.909,0.686,0.082,28123.6764,0.082,20073.8625
17.586,0.677,0.086,35298.9157,0.086,18785.0377
18.027,0.441,0.09,27878.9182,0.09,17617.4457
18.867,0.84,0.094,21922.2874,0.094,16557.798
19.528,0.661,0.098,26118.4985,0.098,15594.3775
20.285,0.757,0.102,30088.8963,0.102,14716.8725
21.121,0.836,0.105,24307.5395,0.105,13916.2177
21.948,0.828,0.109,19802.526,0.109,13184.446
22.759,0.811,0.113,14672.3428,0.113,12514.5546
23.534,0.774,0.117,19918.8132,0.117,11900.3841
24.237,0.703,0.121,22042.0467,0.121,11336.5124
24.918,0.681,0.125,17092.0648,0.125,10818.1606
25.601,0.682,0.129,13878.4461,0.129,10341.1112
26.286,0.685,0.133,11378.6724,0.133,9901.6369
26.962,0.676,0.137,8864.6345,0.137,9496.4378
27.723,0.761,0.141,10048.9946,0.141,9122.5878
28.578,0.856,0.145,8424.384,0.145,8777.4873
29.413,0.834,0.148,7832.734,0.148,8458.8227
30.173,0.761,0.152,6570.4285,0.152,8164.5309
30.879,0.706,0.156,5440.6739,0.156,7892.7682
31.604,0.725,0.16,4655.3164,0.16,7641.8836
32.361,0.756,0.164,3954.6497,0.164,7410.395
33.121,0.761,0.168,4056.0033,0.168,7196.9691
33.889,0.768,0.172,4823.1058,0.172,7000.4024
34.608,0.719,0.176,5417.9988,0.176,6819.6057
35.297,0.688,0.18,5069.4161,0.18,6653.5892
35.971,0.675,0.184,5601.1064,0.184,6501.4499
36.647,0.675,0.188,5417.9996,0.188,6362.3594
37.346,0.699,0.191,5282.0757,0.191,6235.5529
38.057,0.712,0.195,5406.8712,0.195,6120.319
38.752,0.695,0.199,6593.5809,0.199,6015.9895
39.419,0.667,0.203,7133.4586,0.203,5921.9302
40.126,0.706,0.207,5940.4044,0.207,5837.5306
40.886,0.761,0.211,5395.6093,0.211,5762.195
41.678,0.792,0.215,6343.2747,0.215,5695.3317
42.395,0.717,0.219,6846.8349,0.219,5636.3435
43.114,0.718,0.223,6800.694,0.223,5584.6165
43.814,0.7,0.227,6109.5332,0.227,5539.5093
44.501,0.688,0.23,7117.2095,0.23,5500.3415
45.237,0.736,0.234,9221.8085,0.234,5466.3823
45.954,0.717,0.238,9252.8179,0.238,5436.8391
46.638,0.684,0.242,6296.4766,0.242,5410.8469
47.371,0.733,0.246,6028.9833,0.246,5387.459
48.201,0.83,0.25,5917.7443,0.25,5365.6401
49.013,0.811,0.254,5838.9563,0.254,5344.2625
49.749,0.737,0.258,5699.7386,0.258,5322.1078
50.495,0.745,0.262,5706.9865,0.262,5297.8741
51.246,0.751,0.266,6131.3884,0.266,5270.1912
52.009,0.763,0.27,4629.1328,0.27,5237.6455
52.748,0.739,0.273,3726.1979,0.273,5198.8142
53.486,0.738,0.277,4662.0397,0.277,5152.3099
54.274,0.788,0.281,4001.0446,0.281,5096.8347
55.126,0.852,0.285,4065.797,0.285,5031.2408
56.005,0.88,0.289,3232.2051,0.289,4954.5938
56.899,0.894,0.293,5275.3299,0.293,4866.235
57.676,0.776,0.297,5285.5484,0.297,4765.834
58.449,0.773,0.301,5829.3913,0.301,4653.4275
59.249,0.8,0.305,6202.7868,0.305,4529.4378
60.087,0.838,0.309,6583.8767,0.309,4394.6673
60.921,0.834,0.313,6289.9214,0.313,4250.2681
61.758,0.836,0.316,5974.8454,0.316,4097.6884
62.554,0.797,0.32,6424.4106,0.32,3938.6002
63.299,0.745,0.324,6383.4621,0.324,3774.8161
64.044,0.745,0.328,5308.0814,0.328,3608.202
64.781,0.736,0.332,3918.9865,0.332,3440.5945
65.531,0.751,0.336,3051.1679,0.336,3273.7277
66.24,0.709,0.34,2713.3049,0.34,3109.1769
66.969,0.73,0.344,2667.7926,0.344,2948.3176
67.817,0.848,0.348,3229.1661,0.348,2792.303
68.737,0.92,0.352,3496.5199,0.352,2642.057
69.528,0.791,0.355,2355.8673,0.355,2498.2791
70.363,0.835,0.359,1816.122,0.359,2361.4606
71.261,0.898,0.363,2036.2392,0.363,2231.9057
72.158,0.897,0.367,1687.9437,0.367,2109.7572
72.956,0.798,0.371,1412.7243,0.371,1995.0229
73.781,0.825,0.375,1300.6564,0.375,1887.6016
74.618,0.836,0.379,1063.4816,0.379,1787.3068
75.447,0.829,0.383,941.92,0.383,1693.8885
76.2,0.753,0.387,1302.8789,0.387,1607.0516
77.001,0.801,0.391,1307.9362,0.391,1526.4714
77.846,0.845,0.395,793.8041,0.395,1451.8064
78.714,0.868,0.398,795.5876,0.398,1382.7083
79.603,0.889,0.402,1366.9722,0.402,1318.83
80.411,0.809,0.406,1375.2555,0.406,1259.8313
81.219,0.808,0.41,1174.7011,0.41,1205.3834
82.051,0.832,0.414,1246.9583,0.414,1155.1716
82.913,0.862,0.418,1592.3842,0.418,1108.8971
83.725,0.812,0.422,1395.247,0.422,1066.2784
84.543,0.817,0.426,1051.8092,0.426,1027.0514
85.371,0.829,0.43,1051.0837,0.43,990.9695
86.2,0.829,0.434,1161.4865,0.434,957.8028
86.977,0.777,0.438,1642.0763,0.438,927.3378
87.798,0.821,0.441,1764.9961,0.441,899.376
88.645,0.847,0.445,1545.5021,0.445,873.7334
89.48,0.835,0.449,1034.3618,0.449,850.2388
90.245,0.766,0.453,811.9427,0.453,828.7332
91.013,0.767,0.457,1030.4277,0.457,809.0682
91.791,0.778,0.461,1026.2269,0.461,791.1049
92.592,0.801,0.465,807.5351,0.465,774.7128
93.359,0.767,0.469,845.4404,0.469,759.7687
94.105,0.746,0.473,667.9444,0.473,746.1553
94.885,0.78,0.477,659.7137,0.477,733.7603
95.736,0.851,0.48,652.9008,0.48,722.4752
96.611,0.875,0.484,603.1013,0.484,712.1944
97.412,0.801,0.488,581.5887,0.488,702.8143
98.228,0.816,0.492,615.4416,0.492,694.2321
99.049,0.821,0.496,613.1873,0.496,686.3454
99.85,0.801,0.5,762.1785,0.5,679.0514
100.618,0.768,0.504,727.8471,0.504,672.2463
101.346,0.728,0.508,728.3451,0.508,665.8252
102.1,0.753,0.512,533.1581,0.512,659.6816
102.888,0.788,0.516,586.4796,0.516,653.7082
103.695,0.807,0.52,582.564,0.52,647.7969
104.457,0.763,0.523,726.1448,0.523,641.8396
105.247,0.79,0.527,716.4751,0.527,635.7295
106.055,0.807,0.531,792.1665,0.531,629.3629
106.874,0.819,0.535,697.2247,0.535,622.6401
107.62,0.746,0.539,726.5832,0.539,615.4684
108.346,0.727,0.543,611.6397,0.543,607.7641
109.082,0.736,0.547,563.9393,0.547,599.4545
109.869,0.786,0.551,635.0592,0.551,590.4807
110.68,0.812,0.555,588.2906,0.555,580.7995
111.452,0.771,0.559,576.7639,0.559,570.3848
112.227,0.776,0.563,508.0357,0.563,559.2293
113.018,0.79,0.566,451.7418,0.566,547.3447
113.821,0.803,0.57,487.6721,0.57,534.7614
114.603,0.782,0.574,548.626,0.574,521.5276
115.325,0.722,0.578,416.9425,0.578,507.7074
116.055,0.73,0.582,473.8407,0.582,493.3787
116.808,0.753,0.586,443.1673,0.586,478.6297
117.601,0.793,0.59,484.8886,0.59,463.5563
118.397,0.797,0.594,541.6301,0.594,448.2585
119.147,0.749,0.598,417.2938,0.598,432.837
119.92,0.773,0.602,394.3368,0.602,417.3904
120.726,0.806,0.605,322.1244,0.605,402.0125
121.575,0.849,0.609,375.0748,0.609,386.7902
122.4,0.825,0.613,329.3768,0.613,371.802
123.169,0.768,0.617,320.0161,0.617,357.1165
123.92,0.752,0.621,342.8578,0.621,342.7926
124.658,0.737,0.625,361.537,0.625,328.8785
125.384,0.727,0.629,331.1151,0.629,315.4127
126.119,0.734,0.633,282.9552,0.633,302.4239
126.826,0.708,0.637,416.5304,0.637,289.9321
127.537,0.711,0.641,325.3597,0.641,277.9495
128.277,0.74,0.645,238.0481,0.645,266.481
129.059,0.781,0.648,173.0609,0.648,255.5258
129.858,0.8,0.652,213.8406,0.652,245.0777
130.604,0.745,0.656,230.0967,0.656,235.1265
131.345,0.742,0.66,288.729,0.66,225.6584
132.097,0.752,0.664,257.3411,0.664,216.6572
132.869,0.772,0.668,170.4618,0.668,208.1045
133.634,0.765,0.672,181.8393,0.672,199.9804
134.358,0.724,0.676,172.5296,0.676,192.2643
135.087,0.729,0.68,176.133,0.68,184.9349
135.836,0.748,0.684,169.5588,0.684,177.9708
136.62,0.785,0.688,161.5486,0.688,171.3505
137.41,0.79,0.691,115.6263,0.691,165.0532
138.167,0.757,0.695,126.0709,0.695,159.0582
138.906,0.739,0.699,136.0992,0.699,153.3458
139.635,0.729,0.703,148.41,0.703,147.8968
140.333,0.697,0.707,115.982,0.707,142.6932
141.016,0.683,0.711,114.1814,0.711,137.7175
141.697,0.681,0.715,120.6582,0.715,132.9537
142.398,0.701,0.719,120.7631,0.719,128.3862
143.086,0.688,0.723,107.657,0.723,124.0011
143.762,0.676,0.727,99.9375,0.727,119.785
144.481,0.719,0.73,97.0109,0.73,115.7257
145.256,0.776,0.734,91.2772,0.734,111.8123
146.023,0.766,0.738,83.0296,0.738,108.0346
146.745,0.723,0.742,71.9139,0.742,104.3835
147.497,0.751,0.746,94.7253,0.746,100.8509
148.249,0.752,0.75,95.8424,0.75,97.4295
149.032,0.783,0.754,78.4936,0.754,94.1131
149.754,0.722,0.758,84.0436,0.758,90.8962
150.487,0.733,0.762,64.7886,0.762,87.7741
151.23,0.743,0.766,66.5582,0.766,84.7429
151.988,0.758,0.77,72.8798,0.77,81.7991
152.696,0.708,0.773,83.0289,0.773,78.9402
153.414,0.718,0.777,72.4403,0.777,76.1638
154.14,0.726,0.781,62.3049,0.781,73.4683
154.894,0.754,0.785,56.1377,0.785,70.8522
155.626,0.732,0.789,67.9632,0.789,68.3144
156.347,0.721,0.793,63.115,0.793,65.854
157.083,0.736,0.797,53.1711,0.797,63.4705
157.825,0.742,0.801,54.5189,0.801,61.163
158.542,0.718,0.805,45.8102,0.805,58.9312
159.243,0.701,0.809,46.906,0.809,56.7745
159.958,0.715,0.813,43.0421,0.813,54.6923
160.695,0.738,0.816,48.7321,0.816,52.6839
161.447,0.752,0.82,46.034,0.82,50.7487
162.154,0.707,0.824,41.1313,0.824,48.8858
162.878,0.724,0.828,39.9224,0.828,47.0942
163.622,0.745,0.832,42.9993,0.832,45.3729
164.394,0.772,0.836,42.2226,0.836,43.7204
165.143,0.749,0.84,35.3534,0.84,42.1356
165.85,0.707,0.844,41.1517,0.844,40.6168
166.56,0.71,0.848,40.1668,0.848,39.1625
167.26,0.7,0.852,34.6222,0.852,37.771
167.953,0.693,0.855,35.7729,0.855,36.4402
168.637,0.684,0.859,32.7293,0.859,35.1685
169.308,0.671,0.863,33.5136,0.863,33.9538
169.957,0.649,0.867,30.2769,0.867,32.794
170.587,0.63,0.871,29.3317,0.871,31.6871
171.234,0.648,0.875,27.7521,0.875,30.631
171.902,0.668,0.879,27.0431,0.879,29.6236
172.611,0.709,0.883,28.3904,0.883,28.6627
173.346,0.735,0.887,23.4261,0.887,27.7462
174.047,0.701,0.891,26.4817,0.891,26.872
174.766,0.719,0.895,25.5735,0.895,26.0381
175.505,0.739,0.898,25.2904,0.898,25.2425
176.235,0.73,0.902,22.2463,0.902,24.483
176.925,0.691,0.906,23.3858,0.906,23.7577
177.615,0.69,0.91,22.9952,0.91,23.0648
178.299,0.684,0.914,21.0656,0.914,22.4023
