	Feature	score
0	ENSG00000000938	20
1	ENSG00000000971	-4
2	ENSG00000002933	-16
3	ENSG00000003147	8
4	ENSG00000003436	39
5	ENSG00000004799	-3
6	ENSG00000004939	-1
7	ENSG00000005020	44
8	ENSG00000005073	21
9	ENSG00000005108	15
10	ENSG00000005187	9
11	ENSG00000005249	29
12	ENSG00000005379	-5
13	ENSG00000005381	15
14	ENSG00000005961	0
15	ENSG00000006638	29
16	ENSG00000007038	-5
17	ENSG00000007062	72
18	ENSG00000007237	11
19	ENSG00000007384	30
20	ENSG00000008086	60
21	ENSG00000008394	6
22	ENSG00000008438	5
23	ENSG00000008516	11
24	ENSG00000010278	38
25	ENSG00000010327	24
26	ENSG00000010610	11
27	ENSG00000011028	12
28	ENSG00000011422	33
29	ENSG00000011600	4
30	ENSG00000012223	-1
31	ENSG00000012779	24
32	ENSG00000012817	0
33	ENSG00000014257	15
34	ENSG00000014914	56
35	ENSG00000018280	23
36	ENSG00000019102	49
37	ENSG00000019169	14
38	ENSG00000019582	6
39	ENSG00000019991	43
40	ENSG00000020181	35
41	ENSG00000020633	63
42	ENSG00000022267	53
43	ENSG00000022556	17
44	ENSG00000023171	48
45	ENSG00000024422	62
46	ENSG00000025708	2
47	ENSG00000026025	14
48	ENSG00000026751	2
49	ENSG00000028137	16
50	ENSG00000028277	20
51	ENSG00000029534	-12
52	ENSG00000030419	96
53	ENSG00000030582	17
54	ENSG00000035720	10
55	ENSG00000037280	17
56	ENSG00000038427	8
57	ENSG00000038945	-6
58	ENSG00000040608	18
59	ENSG00000041353	-2
60	ENSG00000042493	5
61	ENSG00000042980	22
62	ENSG00000046604	11
63	ENSG00000047597	15
64	ENSG00000048052	26
65	ENSG00000049089	22
66	ENSG00000049323	53
67	ENSG00000050767	38
68	ENSG00000051128	20
69	ENSG00000053918	60
70	ENSG00000054598	34
71	ENSG00000054793	10
72	ENSG00000055118	-12
73	ENSG00000059804	22
74	ENSG00000060982	38
75	ENSG00000061918	15
76	ENSG00000062524	59
77	ENSG00000064201	18
78	ENSG00000064989	70
79	ENSG00000065054	6
80	ENSG00000065833	19
81	ENSG00000065989	-3
82	ENSG00000066056	-2
83	ENSG00000067048	-13
84	ENSG00000067646	-7
85	ENSG00000067836	16
86	ENSG00000069188	44
87	ENSG00000070018	104
88	ENSG00000070182	0
89	ENSG00000070214	0
90	ENSG00000070371	95
91	ENSG00000071242	74
92	ENSG00000071575	21
93	ENSG00000073008	51
94	ENSG00000073737	18
95	ENSG00000073756	8
96	ENSG00000073792	24
97	ENSG00000074181	15
98	ENSG00000074416	53
99	ENSG00000074964	32
100	ENSG00000075340	-3
101	ENSG00000075618	10
102	ENSG00000077327	-2
103	ENSG00000077782	29
104	ENSG00000077984	11
105	ENSG00000078399	155
106	ENSG00000078596	82
107	ENSG00000078804	20
108	ENSG00000079102	-5
109	ENSG00000079215	18
110	ENSG00000079819	65
111	ENSG00000080200	25
112	ENSG00000081041	-4
113	ENSG00000081189	22
114	ENSG00000081985	25
115	ENSG00000082014	37
116	ENSG00000082397	-2
117	ENSG00000082438	56
118	ENSG00000084110	7
119	ENSG00000085063	24
120	ENSG00000085265	7
121	ENSG00000085276	-12
122	ENSG00000085514	23
123	ENSG00000085563	68
124	ENSG00000086300	27
125	ENSG00000086548	1
126	ENSG00000086730	5
127	ENSG00000087116	14
128	ENSG00000087245	63
129	ENSG00000088305	27
130	ENSG00000088827	0
131	ENSG00000088882	7
132	ENSG00000088992	55
133	ENSG00000089127	-5
134	ENSG00000089820	29
135	ENSG00000090006	14
136	ENSG00000090013	-1
137	ENSG00000090104	8
138	ENSG00000090382	0
139	ENSG00000090661	49
140	ENSG00000091106	19
141	ENSG00000091181	0
142	ENSG00000091490	50
143	ENSG00000091592	22
144	ENSG00000091972	49
145	ENSG00000092067	28
146	ENSG00000092621	18
147	ENSG00000092964	4
148	ENSG00000093072	13
149	ENSG00000093134	8
150	ENSG00000095585	24
151	ENSG00000095917	8
152	ENSG00000095932	7
153	ENSG00000096433	38
154	ENSG00000099194	27
155	ENSG00000099204	27
156	ENSG00000099284	72
157	ENSG00000099725	-10
158	ENSG00000099860	-2
159	ENSG00000099864	-6
160	ENSG00000099985	-5
161	ENSG00000099998	3
162	ENSG00000100031	2
163	ENSG00000100055	8
164	ENSG00000100079	17
165	ENSG00000100097	2
166	ENSG00000100290	72
167	ENSG00000100292	9
168	ENSG00000100336	21
169	ENSG00000100368	8
170	ENSG00000100385	14
171	ENSG00000100427	13
172	ENSG00000100448	43
173	ENSG00000100450	13
174	ENSG00000100453	9
175	ENSG00000100473	21
176	ENSG00000100852	40
177	ENSG00000100985	9
178	ENSG00000101188	1
179	ENSG00000101276	22
180	ENSG00000101307	29
181	ENSG00000101336	17
182	ENSG00000101342	10
183	ENSG00000101347	10
184	ENSG00000101384	64
185	ENSG00000101425	8
186	ENSG00000101439	24
187	ENSG00000101445	42
188	ENSG00000101916	20
189	ENSG00000101938	57
190	ENSG00000102104	-1
191	ENSG00000102145	-3
192	ENSG00000102265	14
193	ENSG00000102287	37
194	ENSG00000102362	66
195	ENSG00000102409	8
196	ENSG00000102445	0
197	ENSG00000102595	39
198	ENSG00000102760	13
199	ENSG00000102854	70
200	ENSG00000102996	19
201	ENSG00000103187	6
202	ENSG00000103196	0
203	ENSG00000103313	28
204	ENSG00000103569	16
205	ENSG00000103811	13
206	ENSG00000104093	29
207	ENSG00000104177	44
208	ENSG00000104267	36
209	ENSG00000104341	36
210	ENSG00000104447	21
211	ENSG00000104870	29
212	ENSG00000104918	26
213	ENSG00000104921	2
214	ENSG00000104953	16
215	ENSG00000104972	13
216	ENSG00000104974	7
217	ENSG00000105048	3
218	ENSG00000105205	-4
219	ENSG00000105251	71
220	ENSG00000105270	62
221	ENSG00000105352	11
222	ENSG00000105369	9
223	ENSG00000105376	41
224	ENSG00000105426	24
225	ENSG00000105472	12
226	ENSG00000105492	10
227	ENSG00000105610	-12
228	ENSG00000105737	37
229	ENSG00000105835	6
230	ENSG00000105854	17
231	ENSG00000105974	-12
232	ENSG00000105997	140
233	ENSG00000106003	4
234	ENSG00000106004	147
235	ENSG00000106006	154
236	ENSG00000106066	8
237	ENSG00000106070	13
