area,state,signature_annual,signature_monthly
Baltimore-Columbia-Towson,MD,CUUSS35ESA0,CUURS35ESA0
Atlanta-Sandy Springs-Roswell,GA,CUUSS35CSA0,CUURS35CSA0
Boston-Cambridge-Newton,MA,CUUSS11ASA0,CUURS11ASA0
Dallas-Fort Worth-Arlington,TX,CUUSS37ASA0,CUURS37ASA0
Detroit-Warren-Dearborn,MI,CUUSS23BSA0,CUURS23BSA0
Los Angeles-Long Beach-Anaheim,CA,CUUSS49ASA0,CUURS49ASA0
Minneapolis-St.Paul-Bloomington,MN,CUUSS24ASA0,CUURS24ASA0
Philadelphia-Camden-Wilmington,PA,CUUSS12BSA0,CUURS12BSA0
Riverside-San Bernardino-Ontario,CA,CUUSS49CSA0,CUURS49CSA0
San Diego-Carlsbad,CA,CUUSS49ESA0,CUURS49ESA0
Seattle-Tacoma-Bellevue,WA,CUUSS49DSA0,CUURS49DSA0
Urban Alaska,AK,CUUSS49GSA0,CUURS49GSA0
Washington-Arlington-Alexandria,DC,CUUSS35ASA0,CUURS35ASA0
Chicago-Naperville-Elgin,IL,CUUSS23ASA0,CUURS23ASA0
Denver-Aurora-Lakewood,CO,CUUSS48BSA0,CUURS48BSA0
Houston-The Woodlands-Sugar Land,TX,CUUSS37BSA0,CUURS37BSA0
Miami-Fort Lauderdale-West Palm Beach,FL,CUUSS35BSA0,CUURS35BSA0
New York-Newark-Jersey City,NY,CUUSS12ASA0,CUURS12ASA0
Phoenix-Mesa-Scottsdale,AZ,CUUSS48ASA0,CUURS48ASA0
St. Louis,MO,CUUSS24BSA0,CUURS24BSA0
San Francisco-Oakland-Hayward,CA,CUUSS49BSA0,CUURS49BSA0
Tampa-St. Petersburg-Clearwater,FL,CUUSS35DSA0,CUURS35DSA0
Urban Hawaii,HI,CUUSS49FSA0,CUURS49FSA0
