vsp_number,wgs,lineage,lineage_simple,specimen_label,MMWRyear,MMWRweek,year_week,year_week_int,cdc_lineage
VSP0759,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0760,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0761,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0762,TRUE,B.1,B.1,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0763,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0764,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0765,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0766,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0768,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0769,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0770,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0772,TRUE,R.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0773,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0774,TRUE,B.1.1.265,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0775,TRUE,R.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0781,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0783,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0784,TRUE,B.1.234,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP8029,TRUE,B.1.526,B.1.526,Lineage Measured Only,2021,5,2021-05,1,Iota (B.1.526)
VSP0810,TRUE,B.1.561,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0811,TRUE,B.1.1.7,Alpha,Lineage Measured Only,2021,5,2021-05,1,Alpha (B.1.1.7 or Q)
VSP3001,TRUE,B.1.311,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3004,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3005,TRUE,B.1.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3006,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3007,TRUE,B.1.588,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3008,TRUE,B.1.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3009,TRUE,B.1.588,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3010,TRUE,B.1,B.1,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3011,TRUE,B.1.596,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3012,TRUE,B.1,B.1,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3013,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3014,TRUE,B.1.1.348,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3015,TRUE,B.1,B.1,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3016,TRUE,B.1.1.519,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3017,TRUE,B.1.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3018,TRUE,B.1.1,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3146,TRUE,B.1.243,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3147,TRUE,B.1.596,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3149,TRUE,B.1.596,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP8030,TRUE,B.1.1.7,Alpha,Lineage Measured Only,2021,5,2021-05,1,Alpha (B.1.1.7 or Q)
VSP0794,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0796,TRUE,B.1.2,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3162,TRUE,B.1.311,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3163,TRUE,B.1.361,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP3164,TRUE,B.1,B.1,Lineage Measured Only,2021,5,2021-05,1,Other
VSP8031,TRUE,B.1.575,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP0812,TRUE,B.1.1.7,Alpha,Lineage Measured Only,2021,5,2021-05,1,Alpha (B.1.1.7 or Q)
VSP8032,TRUE,B.1.575,Other,Lineage Measured Only,2021,5,2021-05,1,Other
VSP8033,TRUE,B.1.526,B.1.526,Lineage Measured Only,2021,6,2021-06,2,Iota (B.1.526)
VSP0658,TRUE,B.1.1.434,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0659,TRUE,B.1.2,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0660,TRUE,B.1.2,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0661,TRUE,B.1.433,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0662,TRUE,B.1.2,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0663,TRUE,B.1.427,Other,Lineage Measured Only,2021,6,2021-06,2,Epsilon (B.1.427 and B.1.429)
VSP0664,TRUE,B.1.243,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0665,TRUE,B.1.243,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0666,TRUE,B.1.243,Other,Lineage Measured Only,2021,6,2021-06,2,Other
VSP0668,TRUE,B.1.243,Other,Lineage Measured Only,2021,6,2021-06,2,Other
