Genes	Diseases	Mutations	Chemicals	Species	PMID
				patient>9606	31702694
TP53>7157,CDKN2A>1029,PIK3CA>5290,ERBB2>2064	gallbladder cancer>MESH:D005706,cancer>MESH:D009369,malignancy>MESH:D009369,multidisciplinary tumor board>MESH:D009369,MDTB>MESH:D009369,tumor>MESH:D009369			patients>9606,Patients>9606	31700903
CDKN2A>1029,CDKN2B>1030,CDK4/6>1019;1021,CDKN2A/2B>1029	esophageal squamous cell carcinoma>MESH:C562729,Cancer>MESH:D009369,ESCC>MESH:C562729,tumor>MESH:D009369			patient>9606,patients>9606	31700061
p53>7157,beta-catenin>1499	Hepatocellular carcinoma>MESH:D006528,HCC>MESH:D006528,malignancy>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369		sorafenib>MESH:C471405,regorafenib>MESH:C559147	Patients>9606,patients>9606(anti),patients>9606	31694149
C-reactive protein>1401,CRP>1401,MxA>4599	Respiratory Infections>MESH:D012141,viral acute respiratory infections>MESH:D045169,acute upper respiratory tract infections>MESH:D012141,infection>MESH:D007239			outpatient>9606,patients>9606	31691924
	cancer>MESH:D009369			patients>9606	31691385
	Anxiety>MESH:D001008,depression>MESH:D003866,anxiety>MESH:D001008,Anxiety and Depression>MESH:D003866			patients>9606,outpatient>9606,Patients>9606	31689265
ADRA2A>150,COMT>1312,CYP2D6>1565	behavioral disorders>MESH:D002653,attention-deficit/hyperactivity disorder>MESH:D001289,anxiety>MESH:D001008			children>9606,patients>9606	31688658
	Nordic>No Data			PARTICIPANTS>9606,patient>9606	31685504
HER2>2064,BRIP1>83990,NF1>4763,CDH1>999,RB1>5925,TP53>7157,PARP>1302,MEK>5609,RAF>22882,FOXA1>3169,ERBB2>2064,ERBB3>2065,LITAF>9516,BCAR4>400500,ERBB>1956,HER1>1956,HER4>2066	tumor>MESH:D009369,breast cancer>MESH:D001943,NIN>No Data		afatinib>MESH:C522924	patient>9606	31685261
KMT2A>4297	Pediatric myeloid sarcoma>MESH:D023981,Myeloid sarcoma>MESH:D023981,MS>MESH:D023981,immature myeloid>MESH:D013724,pediatric disease>MESH:D063766,cancer>MESH:D009369,acute myeloid leukemia>MESH:D015470,AML>MESH:D015470,rare disease>MESH:D035583		tyrosine>No Data	patients>9606	31682773
	obesity>MESH:D009765				31682731
HRAS>3265	Costello syndrome>MESH:D056685,CS>MESH:D056685,anxiety>MESH:D001008,contractures>MESH:D003286,osteopenia>MESH:D001851,cancer>MESH:D009369			children>9606	31680412
				patients>9606,patient>9606,Participants>9606,participants>9606	31680382
	noise reduction for movement artifacts>MESH:D014012,apnea>MESH:D001049,deep breathing>MESH:D004417,hyperventilation>MESH:D006985			patient>9606,human>9606,mouse>10090	31679241
BRCA2>675,tyrosine kinase 2>7297,poly (ADP-ribose) polymerase>142,PARP>142,BRCA>672	neoplasms>MESH:D009369,malignancies>MESH:D009369,thymoma>MESH:D013945,pleural metastases>MESH:D009362,pleural metastasis>MESH:D009362,tumors>MESH:D009369,tumor>MESH:D009369,cancer>MESH:D009369			patients>9606,patient>9606,Patients>9606	31676714
FGFR1>2260,BRAF>673	gliomas>MESH:D005910,gliomas -pilocytic astrocytomas>MESH:D001254,gangliogliomas>MESH:D018303,GG>MESH:D018303,ependymomas>MESH:D004806,EP>MESH:D004806,tumours>MESH:D009369,tumors>MESH:D009369		formalin>MESH:D005557	patients>9606	31673897
