2017	2019	mid-2020						
PROVNUM	PROVNUM	Federal Provider Number						"'PROVNUM':'Federal Provider Number',"
PROVNAME	PROVNAME	Provider Name						"'PROVNAME':'Provider Name',"
ADDRESS	ADDRESS	Provider Address						"'ADDRESS':'Provider Address',"
CITY	CITY	Provider City						"'CITY':'Provider City',"
STATE	STATE	Provider State						"'STATE':'Provider State',"
ZIP	ZIP	Provider Zip Code						"'ZIP':'Provider Zip Code',"
COUNTY_SSA	COUNTY_SSA	Provider SSA County Code						"'COUNTY_SSA':'Provider SSA County Code',"
OWNERSHIP	OWNERSHIP	Ownership Type						"'OWNERSHIP':'Ownership Type',"
BEDCERT	BEDCERT	Number of Certified Beds						"'BEDCERT':'Number of Certified Beds',"
INHOSP	INHOSP	Provider Resides in Hospital						"'INHOSP':'Provider Resides in Hospital',"
LBN	LBN	Legal Business Name						"'LBN':'Legal Business Name',"
CHOW_LAST_12MOS	CHOW_LAST_12MOS	Provider Changed Ownership in Last 12 Months						"'CHOW_LAST_12MOS':'Provider Changed Ownership in Last 12 Months',"
CCRC_FACIL	CCRC_FACIL	Continuing Care Retirement Community						"'CCRC_FACIL':'Continuing Care Retirement Community',"
staffing_rating	STAFFING_RATING	Staffing Rating						"'STAFFING_RATING':'Staffing Rating',"
staffing_rating_fn	staffing_rating_fn	Staffing Rating Footnote						"'staffing_rating_fn':'Staffing Rating Footnote',"
RN_staffing_rating	RN_STAFFING_RATING	RN Staffing Rating						"'RN_STAFFING_RATING':'RN Staffing Rating',"
rn_staffing_rating_fn	RN_staffing_rating_fn	RN Staffing Rating Footnote						"'RN_staffing_rating_fn':'RN Staffing Rating Footnote',"
STAFFING_FLAG	STAFFING_FLAG	Reported Staffing Footnote						"'STAFFING_FLAG':'Reported Staffing Footnote',"
PT_STAFFING_FLAG	PT_STAFFING_FLAG	Physical Therapist Staffing Footnote						"'PT_STAFFING_FLAG':'Physical Therapist Staffing Footnote',"
AIDHRD	AIDHRD	Reported Nurse Aide Staffing Hours per Resident per Day						"'AIDHRD':'Reported Nurse Aide Staffing Hours per Resident per Day',"
VOCHRD	VOCHRD	Reported LPN Staffing Hours per Resident per Day						"'VOCHRD':'Reported LPN Staffing Hours per Resident per Day',"
RNHRD	RNHRD	Reported RN Staffing Hours per Resident per Day						"'RNHRD':'Reported RN Staffing Hours per Resident per Day',"
TOTLICHRD	TOTLICHRD	Reported Licensed Staffing Hours per Resident per Day						"'TOTLICHRD':'Reported Licensed Staffing Hours per Resident per Day',"
TOTHRD	TOTHRD	Reported Total Nurse Staffing Hours per Resident per Day						"'TOTHRD':'Reported Total Nurse Staffing Hours per Resident per Day',"
PTHRD	PTHRD	Reported Physical Therapist Staffing Hours per Resident Per Day						"'PTHRD':'Reported Physical Therapist Staffing Hours per Resident Per Day',"
exp_aide	EXP_AIDE	Case-Mix Nurse Aide Staffing Hours per Resident per Day						"'EXP_AIDE':'Case-Mix Nurse Aide Staffing Hours per Resident per Day',"
exp_lpn	EXP_LPN	Case-Mix LPN Staffing Hours per Resident per Day						"'EXP_LPN':'Case-Mix LPN Staffing Hours per Resident per Day',"
exp_rn	EXP_RN	Case-Mix RN Staffing Hours per Resident per Day						"'EXP_RN':'Case-Mix RN Staffing Hours per Resident per Day',"
exp_total	EXP_TOTAL	Case-Mix Total Nurse Staffing Hours per Resident per Day						"'EXP_TOTAL':'Case-Mix Total Nurse Staffing Hours per Resident per Day',"
adj_aide	ADJ_AIDE	Adjusted Nurse Aide Staffing Hours per Resident per Day						"'ADJ_AIDE':'Adjusted Nurse Aide Staffing Hours per Resident per Day',"
adj_lpn	ADJ_LPN	Adjusted LPN Staffing Hours per Resident per Day						"'ADJ_LPN':'Adjusted LPN Staffing Hours per Resident per Day',"
adj_rn	ADJ_RN	Adjusted RN Staffing Hours per Resident per Day						"'ADJ_RN':'Adjusted RN Staffing Hours per Resident per Day',"
adj_total	ADJ_TOTAL	Adjusted Total Nurse Staffing Hours per Resident per Day						"'ADJ_TOTAL':'Adjusted Total Nurse Staffing Hours per Resident per Day',"
FILEDATE	FILEDATE	Processing Date						"'FILEDATE':'Processing Date',"
