State,Year,Population
AL,2015,4850858
AK,2015,737979
AZ,2015,6802262
AR,2015,2975626
CA,2015,39032444
CO,2015,5440445
CT,2015,3593862
DE,2015,944107
DC,2015,672736
FL,2015,20268567
GA,2015,10199533
HI,2015,1426320
ID,2015,1649324
IL,2015,12862051
IN,2015,6610596
IA,2015,3118473
KS,2015,2905789
KY,2015,4422057
LA,2015,4671211
ME,2015,1327787
MD,2015,6000561
MA,2015,6794002
MI,2015,9918170
MN,2015,5483238
MS,2015,2985297
MO,2015,6072640
MT,2015,1028317
NE,2015,1893564
NV,2015,2883057
NH,2015,1330134
NJ,2015,8960001
NM,2015,2082264
NY,2015,19819347
NC,2015,10041769
ND,2015,754859
OH,2015,11606027
OK,2015,3904353
OR,2015,4016537
PA,2015,12791124
RI,2015,1055916
SC,2015,4892423
SD,2015,854036
TN,2015,6590726
TX,2015,27454880
UT,2015,2984917
VT,2015,624455
VA,2015,8366767
WA,2015,7152818
WV,2015,1839767
WI,2015,5759744
WY,2015,586102
AL,2016,4860545
AK,2016,741522
AZ,2016,6908642
AR,2016,2988231
CA,2016,39296476
CO,2016,5530105
CT,2016,3587685
DE,2016,952698
DC,2016,684336
FL,2016,20656589
GA,2016,10313620
HI,2016,1428683
ID,2016,1680026
IL,2016,12835726
IN,2016,6634007
IA,2016,3130869
KS,2016,2907731
KY,2016,4436113
LA,2016,4686157
ME,2016,1330232
MD,2016,6024752
MA,2016,6823721
MI,2016,9933445
MN,2016,5525050
MS,2016,2985415
MO,2016,6091176
MT,2016,1038656
NE,2016,1907603
NV,2016,2939254
NH,2016,1335015
NJ,2016,8978416
NM,2016,2085432
NY,2016,19836286
NC,2016,10156689
ND,2016,755548
OH,2016,11622554
OK,2016,3921207
OR,2016,4085989
PA,2016,12787085
RI,2016,1057566
SC,2016,4959822
SD,2016,861542
TN,2016,6649404
TX,2016,27904862
UT,2016,3044321
VT,2016,623354
VA,2016,8414380
WA,2016,7280934
WV,2016,1828637
WI,2016,5772917
WY,2016,584910
AL,2017,4874747
AK,2017,739795
AZ,2017,7016270
AR,2017,3004279
CA,2017,39536653
CO,2017,5607154
CT,2017,3588184
DE,2017,961939
DC,2017,693972
FL,2017,20984400
GA,2017,10429379
HI,2017,1427538
ID,2017,1716943
IL,2017,12802023
IN,2017,6666818
IA,2017,3145711
KS,2017,2913123
KY,2017,4454189
LA,2017,4684333
ME,2017,1335907
MD,2017,6052177
MA,2017,6859819
MI,2017,9962311
MN,2017,5576606
MS,2017,2984100
MO,2017,6113532
MT,2017,1050493
NE,2017,1920076
NV,2017,2998039
NH,2017,1342795
NJ,2017,9005644
NM,2017,2088070
NY,2017,19849399
NC,2017,10273419
ND,2017,755393
OH,2017,11658609
OK,2017,3930864
OR,2017,4142776
PA,2017,12805537
RI,2017,1059639
SC,2017,5024369
SD,2017,869666
TN,2017,6715984
TX,2017,28304596
UT,2017,3101833
VT,2017,623657
VA,2017,8470020
WA,2017,7405743
WV,2017,1815857
WI,2017,5795483
WY,2017,579315
