recip_county,year_week,first_delta,dominant_delta
Bucks County,2020 - 07,Pre-delta,Pre-delta
Bucks County,2020 - 08,Pre-delta,Pre-delta
Bucks County,2020 - 09,Pre-delta,Pre-delta
Bucks County,2020 - 10,Pre-delta,Pre-delta
Bucks County,2020 - 11,Pre-delta,Pre-delta
Bucks County,2020 - 12,Pre-delta,Pre-delta
Bucks County,2020 - 13,Pre-delta,Pre-delta
Bucks County,2020 - 14,Pre-delta,Pre-delta
Bucks County,2020 - 15,Pre-delta,Pre-delta
Bucks County,2020 - 16,Pre-delta,Pre-delta
Bucks County,2020 - 17,Pre-delta,Pre-delta
Bucks County,2020 - 18,Pre-delta,Pre-delta
Bucks County,2020 - 19,Pre-delta,Pre-delta
Bucks County,2020 - 20,Pre-delta,Pre-delta
Bucks County,2020 - 21,Pre-delta,Pre-delta
Bucks County,2020 - 22,Pre-delta,Pre-delta
Bucks County,2020 - 23,Pre-delta,Pre-delta
Bucks County,2020 - 24,Pre-delta,Pre-delta
Bucks County,2020 - 25,Pre-delta,Pre-delta
Bucks County,2020 - 26,Pre-delta,Pre-delta
Bucks County,2020 - 27,Pre-delta,Pre-delta
Bucks County,2020 - 28,Pre-delta,Pre-delta
Bucks County,2020 - 29,Pre-delta,Pre-delta
Bucks County,2020 - 30,Pre-delta,Pre-delta
Bucks County,2020 - 31,Pre-delta,Pre-delta
Bucks County,2020 - 32,Pre-delta,Pre-delta
Bucks County,2020 - 33,Pre-delta,Pre-delta
Bucks County,2020 - 34,Pre-delta,Pre-delta
Bucks County,2020 - 35,Pre-delta,Pre-delta
Bucks County,2020 - 36,Pre-delta,Pre-delta
Bucks County,2020 - 37,Pre-delta,Pre-delta
Bucks County,2020 - 38,Pre-delta,Pre-delta
Bucks County,2020 - 39,Pre-delta,Pre-delta
Bucks County,2020 - 40,Pre-delta,Pre-delta
Bucks County,2020 - 41,Pre-delta,Pre-delta
Bucks County,2020 - 42,Pre-delta,Pre-delta
Bucks County,2020 - 43,Pre-delta,Pre-delta
Bucks County,2020 - 44,Pre-delta,Pre-delta
Bucks County,2020 - 45,Pre-delta,Pre-delta
Bucks County,2020 - 46,Pre-delta,Pre-delta
Bucks County,2020 - 47,Pre-delta,Pre-delta
Bucks County,2020 - 48,Pre-delta,Pre-delta
Bucks County,2020 - 49,Pre-delta,Pre-delta
Bucks County,2020 - 50,Pre-delta,Pre-delta
Bucks County,2020 - 51,Pre-delta,Pre-delta
Bucks County,2020 - 52,Pre-delta,Pre-delta
Bucks County,2020 - 53,Pre-delta,Pre-delta
Bucks County,2021 - 01,Pre-delta,Pre-delta
Bucks County,2021 - 02,Pre-delta,Pre-delta
Bucks County,2021 - 03,Pre-delta,Pre-delta
Bucks County,2021 - 04,Pre-delta,Pre-delta
Bucks County,2021 - 05,Pre-delta,Pre-delta
Bucks County,2021 - 06,Pre-delta,Pre-delta
Bucks County,2021 - 07,Pre-delta,Pre-delta
Bucks County,2021 - 08,Pre-delta,Pre-delta
Bucks County,2021 - 09,Pre-delta,Pre-delta
Bucks County,2021 - 10,Pre-delta,Pre-delta
Bucks County,2021 - 11,Pre-delta,Pre-delta
Bucks County,2021 - 12,Pre-delta,Pre-delta
Bucks County,2021 - 13,Pre-delta,Pre-delta
Bucks County,2021 - 14,Pre-delta,Pre-delta
Bucks County,2021 - 15,Post-delta,Pre-delta
Bucks County,2021 - 16,Post-delta,Pre-delta
Bucks County,2021 - 17,Post-delta,Pre-delta
Bucks County,2021 - 18,Post-delta,Pre-delta
Bucks County,2021 - 19,Post-delta,Pre-delta
Bucks County,2021 - 20,Post-delta,Pre-delta
Bucks County,2021 - 21,Post-delta,Pre-delta
Bucks County,2021 - 22,Post-delta,Pre-delta
Bucks County,2021 - 23,Post-delta,Pre-delta
Bucks County,2021 - 24,Post-delta,Pre-delta
Bucks County,2021 - 25,Post-delta,Pre-delta
Bucks County,2021 - 26,Post-delta,Post-delta
Bucks County,2021 - 27,Post-delta,Post-delta
Bucks County,2021 - 28,Post-delta,Post-delta
Bucks County,2021 - 29,Post-delta,Post-delta
Bucks County,2021 - 30,Post-delta,Post-delta
Bucks County,2021 - 31,Post-delta,Post-delta
Bucks County,2021 - 32,Post-delta,Post-delta
Bucks County,2021 - 33,Post-delta,Post-delta
Bucks County,2021 - 34,Post-delta,Post-delta
Bucks County,2021 - 35,Post-delta,Post-delta
Bucks County,2021 - 36,Post-delta,Post-delta
Bucks County,2021 - 37,Post-delta,Post-delta
Bucks County,2021 - 38,Post-delta,Post-delta
Bucks County,2021 - 39,Post-delta,Post-delta
Burlington County,2020 - 07,Pre-delta,Pre-delta
Burlington County,2020 - 08,Pre-delta,Pre-delta
Burlington County,2020 - 09,Pre-delta,Pre-delta
Burlington County,2020 - 10,Pre-delta,Pre-delta
Burlington County,2020 - 11,Pre-delta,Pre-delta
Burlington County,2020 - 12,Pre-delta,Pre-delta
Burlington County,2020 - 13,Pre-delta,Pre-delta
Burlington County,2020 - 14,Pre-delta,Pre-delta
Burlington County,2020 - 15,Pre-delta,Pre-delta
Burlington County,2020 - 16,Pre-delta,Pre-delta
Burlington County,2020 - 17,Pre-delta,Pre-delta
Burlington County,2020 - 18,Pre-delta,Pre-delta
Burlington County,2020 - 19,Pre-delta,Pre-delta
Burlington County,2020 - 20,Pre-delta,Pre-delta
Burlington County,2020 - 21,Pre-delta,Pre-delta
Burlington County,2020 - 22,Pre-delta,Pre-delta
Burlington County,2020 - 23,Pre-delta,Pre-delta
Burlington County,2020 - 24,Pre-delta,Pre-delta
Burlington County,2020 - 25,Pre-delta,Pre-delta
Burlington County,2020 - 26,Pre-delta,Pre-delta
Burlington County,2020 - 27,Pre-delta,Pre-delta
Burlington County,2020 - 28,Pre-delta,Pre-delta
Burlington County,2020 - 29,Pre-delta,Pre-delta
Burlington County,2020 - 30,Pre-delta,Pre-delta
Burlington County,2020 - 31,Pre-delta,Pre-delta
Burlington County,2020 - 32,Pre-delta,Pre-delta
Burlington County,2020 - 33,Pre-delta,Pre-delta
Burlington County,2020 - 34,Pre-delta,Pre-delta
Burlington County,2020 - 35,Pre-delta,Pre-delta
Burlington County,2020 - 36,Pre-delta,Pre-delta
Burlington County,2020 - 37,Pre-delta,Pre-delta
Burlington County,2020 - 38,Pre-delta,Pre-delta
Burlington County,2020 - 39,Pre-delta,Pre-delta
Burlington County,2020 - 40,Pre-delta,Pre-delta
Burlington County,2020 - 41,Pre-delta,Pre-delta
Burlington County,2020 - 42,Pre-delta,Pre-delta
Burlington County,2020 - 43,Pre-delta,Pre-delta
Burlington County,2020 - 44,Pre-delta,Pre-delta
Burlington County,2020 - 45,Pre-delta,Pre-delta
Burlington County,2020 - 46,Pre-delta,Pre-delta
