"words"	"Freq"
"patients"	6443
"cancer"	5737
"actionable"	4883
"clinical"	4593
"health"	4553
"data"	3555
"university"	3417
"results"	3397
"research"	3240
"care"	3043
"information"	2790
"medicine"	2598
"mutations"	2478
"medical"	2384
"patient"	2357
"study"	2241
"usa"	2103
"using"	2001
"treatment"	1990
"s"	1975
"methods"	1943
"sequencing"	1916
"has"	1906
"tumor"	1901
"molecular"	1886
"center"	1802
"analysis"	1793
"identified"	1733
"more"	1707
"may"	1643
"disease"	1638
"genomic"	1618
"hospital"	1567
"genetic"	1518
"genes"	1512
"used"	1457
"been"	1436
"findings"	1351
"risk"	1351
"institute"	1335
"therapy"	1287
"targeted"	1278
"quality"	1249
"identify"	1231
"potential"	1226
"cell"	1219
"studies"	1215
"testing"	1206
"such"	1195
"alterations"	1189
"development"	1180
"had"	1168
"associated"	1160
"including"	1153
"provide"	1142
"variants"	1123
"department"	1114
"tumors"	1097
"review"	1096
"outcomes"	1092
"management"	1049
"system"	1047
"oncology"	1045
"based"	1029
"school"	1026
"however"	1023
"cases"	1010
"conclusions"	1007
"gene"	989
"practice"	982
"approach"	971
"both"	968
"lung"	946
"primary"	942
"response"	935
"drug"	926
"clinically"	920
"de"	906
"background"	901
"mutation"	894
"among"	865
"evidence"	865
"high"	862
"through"	861
"improve"	860
"knowledge"	858
"samples"	851
"participants"	833
"author"	832
"dna"	818
"national"	818
"therapeutic"	811
"should"	804
"systems"	802
"recommendations"	790
"number"	785
"public"	779
"support"	778
"factors"	771
"specific"	761
"within"	756
"important"	752
"therapies"	742
"breast"	741
"process"	734
"program"	734
"significant"	732
"human"	731
"trials"	730
"cells"	720
"model"	717
"current"	711
"each"	710
"cancers"	707
"design"	705
"novel"	705
"need"	703
"children"	699
"strategies"	692
"different"	690
"included"	684
"targets"	684
"group"	678
"across"	677
"expression"	672
"available"	670
"compared"	670
"many"	667
"developed"	666
"common"	659
"performed"	659
"implementation"	657
"key"	650
"assessment"	645
"conclusion"	645
"multiple"	642
"those"	642
"healthcare"	641
"population"	641
"potentially"	640
"found"	639
"address"	631
"models"	628
"understanding"	621
"three"	618
"effective"	616
"objective"	612
"diagnosis"	605
"during"	605
"while"	604
"approaches"	603
"challenges"	600
"diagnostic"	599
"pathology"	595
"screening"	593
"performance"	592
"survival"	592
"relevant"	590
"comprehensive"	589
"impact"	588
"overall"	588
"further"	580
"individual"	578
"years"	574
"improvement"	572
"electronic"	568
"profiling"	562
"tissue"	561
"france"	560
"present"	559
"recent"	559
"interventions"	552
"detection"	550
"york"	547
"reported"	542
"sciences"	542
"future"	539
"p"	537
"level"	536
"genome"	533
"laboratory"	533
"genetics"	527
"purpose"	524
"increased"	523
"panel"	523
"conducted"	522
"feedback"	522
"identification"	521
"advanced"	518
"precision"	517
"resistance"	517
"technology"	514
"test"	514
"evaluation"	512
"framework"	512
"decision"	511
"total"	509
"biology"	507
"clinicians"	506
"levels"	506
"college"	505
"services"	504
"edu"	503
"ngs"	499
"control"	498
"several"	496
"egfr"	495
"biomarkers"	490
"science"	490
"diseases"	488
"target"	488
"intervention"	485
"limited"	485
"metastatic"	484
"states"	482
"although"	481
"canada"	480
"focus"	480
"role"	478
"safety"	478
"significantly"	478
"united"	478
"related"	477
"case"	475
"rate"	475
"uk"	471
"better"	470
"centre"	470
"community"	467
"early"	463
"here"	461
"develop"	459
"policy"	459
"report"	459
"low"	458
"change"	457
"assess"	455
"large"	455
"changes"	453
"tool"	453
"measures"	451
"next-generation"	451
"individuals"	447
"critical"	445
"rates"	444
"women"	444
"provides"	443
"somatic"	443
"complex"	442
"education"	441
"needed"	441
"benefit"	438
"tools"	438
"higher"	436
"detected"	429
"social"	429
"guidelines"	427
"personalized"	427
"known"	425
"family"	424
"improved"	424
"events"	420
"major"	420
"practices"	419
"value"	417
"help"	416
"include"	416
"physicians"	416
"being"	414
"inhibitors"	414
"likely"	414
"types"	413
"analyses"	410
"literature"	409
"positive"	408
"provided"	408
"status"	408
"germany"	405
"kinase"	404
"method"	404
"activity"	403
"analyzed"	403
"setting"	403
"efforts"	402
"often"	402
"sensitivity"	401
"groups"	400
"providers"	400
"trial"	400
"determine"	397
"boston"	396
"prevention"	395
"monitoring"	394
"technologies"	394
"additional"	388
"cohort"	388
"evaluated"	388
"outcome"	388
"surgery"	388
"communication"	386
"(n"	385
"general"	383
"drugs"	382
"pathways"	380
"needs"	379
"whether"	378
"growth"	377
"evaluate"	374
"access"	372
"variant"	370
"article"	368
"ca"	368
"four"	367
"lack"	367
"without"	367
"pathway"	366
"10"	365
"characteristics"	365
"programs"	365
"predictive"	364
"survey"	364
"small"	362
"age"	361
"standard"	357
"assessed"	356
"increase"	356
"showed"	354
"utility"	354
"australia"	353
"e"	353
"observed"	353
"actionability"	352
"areas"	352
"single"	352
"effects"	351
"materials"	351
"describe"	350
"mechanisms"	350
"state"	350
"guide"	347
"context"	346
"demonstrated"	346
"regarding"	346
"pediatric"	344
"revealed"	341
"signaling"	341
"tests"	341
"decisions"	340
"per"	339
"barriers"	337
"receptor"	336
"due"	335
"resources"	335
"type"	335
"reports"	334
"set"	334
"blood"	333
"learning"	332
"g"	331
"features"	330
"least"	330
"california"	329
"network"	329
"protein"	329
"identifying"	328
"kras"	328
"rare"	328
"driver"	327
"genomics"	327
"less"	327
"making"	326
"months"	326
"result"	326
"cost"	325
"implications"	325
"nsclc"	325
"factor"	324
"order"	324
"vs"	324
"ci"	322
"sample"	322
"conditions"	321
"despite"	321
"best"	320
"experience"	320
"agents"	319
"service"	319
"chemotherapy"	318
"currently"	317
"following"	314
"mortality"	314
"opportunities"	314
"poor"	314
"assay"	313
"ma"	313
"received"	313
"carcinoma"	312
"division"	312
"providing"	311
"respectively"	311
"processes"	310
"application"	309
"addition"	308
"braf"	308
"frequently"	308
"unique"	308
"interviews"	307
"median"	307
"integrated"	306
"paper"	306
"routine"	306
"d"	305
"range"	305
"training"	305
"discuss"	303
"options"	302
"where"	302
"reporting"	301
"pathogenic"	300
"settings"	300
"highly"	299
"follow-up"	298
"previously"	297
"prostate"	296
"delivery"	295
"hospitals"	294
"issues"	294
"researchers"	294
"specimens"	294
"yet"	294
"applied"	293
"team"	293
"95%"	292
"discovery"	292
"germline"	292
"differences"	291
"i"	290
"strategy"	290
"suggest"	290
"criteria"	289
"progression"	289
"responses"	289
"(1)"	288
"developing"	288
"existing"	288
"five"	288
"paris"	288
"improving"	285
"met"	285
"considered"	284
"increasing"	284
"content"	283
"clinic"	282
"life"	282
"show"	281
"texas"	281
"&"	280
"appropriate"	280
"defined"	280
"possible"	280
"remains"	279
"thus"	279
"aim"	278
"inform"	278
"tested"	278
"useful"	278
"(2)"	277
"made"	277
"part"	277
"prior"	277
"tp53"	277
"medication"	276
"reduce"	276
"required"	276
"diabetes"	275
"evidence-based"	275
"frequency"	275
"global"	275
"m"	275
"rapid"	275
"demonstrate"	274
"understand"	274
"collected"	273
"combination"	273
"md"	272
"washington"	272
"action"	271
"imaging"	271
"qualitative"	271
"oncogenic"	270
"populations"	270
"surgical"	270
"toronto"	270
"(p"	268
"heterogeneity"	267
"importance"	267
"project"	266
"advances"	265
"association"	265
"insights"	265
"unit"	265
"brain"	263
"ny"	263
"and/or"	261
"costs"	261
"various"	260
"versus"	260
"biomedical"	259
"local"	259
"translational"	259
"obtained"	258
"targeting"	258
"few"	257
"london"	257
"ability"	256
"adenocarcinoma"	256
"facilitate"	256
"functional"	256
"tumour"	256
"12"	255
"established"	255
"biopsy"	254
"lower"	254
"questions"	253
"objectives"	252
"greater"	251
"did"	250
"diverse"	250
"members"	250
"stakeholders"	250
"treatments"	250
"death"	249
"prognosis"	249
"burden"	248
"designed"	248
"san"	248
"significance"	248
"initial"	247
"lines"	247
"reviewed"	247
"la"	246
"systematic"	245
"majority"	243
"selected"	243
"involved"	242
"j"	242
"field"	241
"increasingly"	241
"mutational"	241
"lead"	240
"distinct"	239
"goal"	238
"c"	236
"houston"	236
"china"	235
"integration"	235
"negative"	235
"platform"	235
"secondary"	235
"leading"	234
"might"	234
"presented"	234
"fusions"	233
"recently"	233
"similar"	233
"given"	232
"six"	232
"<"	231
"challenge"	231
"before"	230
"efficacy"	230
"environmental"	230
"pik3ca"	230
"accurate"	229
"biological"	229
"immune"	229
"selection"	229
"(ngs)"	228
"harvard"	228
"validated"	228
"effect"	227
"environment"	227
"history"	227
"matched"	227
"stage"	227
"treated"	227
"11"	226
"against"	226
"focused"	226
"italy"	226
"phase"	226
"chronic"	225
"mean"	225
"south"	225
"decision-making"	224
"scores"	224
"american"	223
"scientific"	223
"ctdna"	222
"experimental"	222
"main"	222
"(3)"	221
"physician"	221
"published"	221
"effectiveness"	220
"generated"	220
"accuracy"	219
