Chromosome	Length	DF_927_1_GFP_tdt	DF_927_1_GFP	DF_980_3_GFP_tdt	DF_980_3_GFP
chr10	130694993	7394452	6130402	8286866	9475978
chr11	122082543	11349602	8932328	11483810	12186584
chr12	120129022	5114458	3744898	5599158	5611940
chr13	120421639	3742288	2835964	3674122	3831212
chr14	124902244	11215864	13228884	21669158	27733418
chr15	104043685	5358222	4380852	5490374	5961772
chr16	98207768	4332494	3289886	4128250	4337542
chr17	94987271	7141540	5417112	7027436	7532908
chr18	90702639	3321100	2458710	3198356	3343748
chr19	61431566	4679024	3643302	4510938	4681264
chr1	195471971	8639782	6990660	8662236	8845750
chr2	182113224	9330248	7687074	9647168	9859380
chr3	160039680	5963650	4358376	5841838	5962222
chr4	156508116	7594560	5831982	7678028	8227502
chr5	151834684	9235924	8177478	9991442	10441662
chr6	149736546	7119066	6019970	8234194	8195640
chr7	145441459	9571140	7659160	11124074	12244702
chr8	129401213	6817954	5373276	6686004	7347698
chr9	124595110	8817134	6924056	9955640	10090100
chrM	16299	4463252	4150606	5704892	5908218
chrX	171031299	4129722	2997220	4644920	4679942
chrY	91744698	45836	27836	43758	21474
Other		0	0	0	0
rRNA		NA	NA	NA	NA
