c1.diseaseId	c1.name	c1.STY	c1.MESH	c1.OMIM	c1.type	c2.geneId	c2.symbol	c2.uniprotId	c2.description	c2.DPI	c2.DSI	c2.pantherName	c0.score	c0.EI	c0.Npmids	c0.Nsnps
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5728	PTEN	P60484	phosphatase and tensin homolog	0.857	0.324	phosphatase; hydrolase	0.501687381843894	0.958	27	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2332	FMR1	Q06787	fragile X mental retardation 1	0.75	0.429	nucleic acid binding	0.497986587311488	0.974	39	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	7249	TSC2	P49815	tuberous sclerosis 2	0.786	0.454	null	0.484106546385879	1.0	7	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	7248	TSC1	Q92574	tuberous sclerosis 1	0.821	0.366	null	0.483007639249027	1.0	3	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4204	MECP2	P51608	methyl-CpG binding protein 2	0.857	0.413	transferase; nucleic acid binding	0.43781639420052	0.922	67	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4128	MAOA	P21397	monoamine oxidase A	0.607	0.464	transferase; oxidoreductase; nucleic acid binding	0.414782410458571	1.0	13	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	7337	UBE3A	Q05086	ubiquitin protein ligase E3A	0.464	0.517	ligase	0.412924835503709	1.0	15	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	11141	IL1RAPL1	Q9NZN1	interleukin 1 receptor accessory protein like 1	0.393	0.602	receptor	0.40433011601278	1.0	8	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1717	DHCR7	Q9UBM7	7-dehydrocholesterol reductase	0.75	0.469	oxidoreductase; receptor	0.402407028523288	NA	2	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	158	ADSL	P30566	adenylosuccinate lyase	0.429	0.55	lyase	0.401098907136852	1.0	4	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1806	DPYD	Q12882	dihydropyrimidine dehydrogenase	0.75	0.469	oxidoreductase	0.400274726784213	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	6532	SLC6A4	P31645	solute carrier family 6 member 4	0.929	0.398	transporter	0.34930262387553	0.891	56	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	26047	CNTNAP2	Q9UHC6	contactin associated protein-like 2	0.643	0.57	cell adhesion molecule; transfer/carrier protein; transporter; protease; enzyme modulator; oxidoreductase; hydrolase; signaling molecule; extracellular matrix protein; receptor	0.304643863935608	1.0	30	4
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2562	GABRB3	P28472	gamma-aminobutyric acid type A receptor beta3 subunit	0.429	0.565	transporter; receptor	0.302878833538387	0.833	18	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2020	EN2	P19622	engrailed homeobox 2	0.286	0.709	transcription factor; nucleic acid binding	0.302329379969961	1.0	15	4
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	9378	NRXN1	P58400;Q9ULB1	neurexin 1	0.536	0.596	cell adhesion molecule; transfer/carrier protein; transporter; protease; enzyme modulator; oxidoreductase; hydrolase; signaling molecule; extracellular matrix protein; receptor	0.297631992615327	0.944	26	1
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	85358	SHANK3	Q9BYB0	SH3 and multiple ankyrin repeat domains 3	0.25	0.614	null	0.296980224732276	1.0	22	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	4897	NRCAM	Q92823	neuronal cell adhesion molecule	0.321	0.651	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.286187690967642	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	8828	NRP2	O60462	neuropilin 2	0.536	0.557	cell adhesion molecule; transfer/carrier protein; transporter; protease; enzyme modulator; oxidoreductase; hydrolase; signaling molecule; extracellular matrix protein; receptor	0.285414667772315	1.0	1	2
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	5080	PAX6	P26367	paired box 6	0.75	0.457	transcription factor; nucleic acid binding	0.283231208875927	1.0	5	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	2131	EXT1	Q16394	exostosin glycosyltransferase 1	0.75	0.504	transferase	0.283007639249027	1.0	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1141	CHRNB2	P17787	cholinergic receptor nicotinic beta 2 subunit	0.25	0.648	transporter; receptor	0.282732912464814	NA	1	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	93664	CADPS2	Q86UW7	calcium dependent secretion activator 2	0.214	0.75	calcium-binding protein	0.281648360705279	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	26960	NBEA	Q8NFP9	neurobeachin	0.429	0.779	null	0.281098907136852	1.0	6	0
C0004352	Autistic Disorder	Mental or Behavioral Dysfunction	D001321	209850	disease	1387	CREBBP	Q92793	CREB binding protein	0.893	0.409	transcription factor; transferase; nucleic acid binding	0.280549453568426	1.0	2	0
